id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6
536,3.57,2.05,4.1,1.14,5.15,1.14
537,3.36,1.95,4.16,1.16,5.13,1.08
538,3.13,1.85,4.22,1.19,5.06,1.02
539,2.9,1.75,4.27,1.21,4.97,0.96
540,2.71,1.65,4.32,1.23,4.85,0.9
541,2.49,1.55,4.35,1.25,4.74,0.84
542,2.29,1.45,4.38,1.27,4.61,0.78
543,2.1,1.36,4.39,1.29,4.61,0.72
544,1.9,1.26,4.4,1.3,4.74,0.66
545,1.71,1.17,4.39,1.31,4.85,0.6
546,1.52,1.08,4.38,1.31,4.97,0.54
547,1.33,0.98,4.35,1.32,5.06,0.48
548,1.16,0.89,4.32,1.31,5.13,0.42
549,0.98,0.8,4.27,1.31,5.15,0.36
550,0.8,0.71,4.22,1.3,5.13,0.31
551,1.18,3.58,3.5,1.09,4.95,2.52
552,1.37,3.66,3.5,1.11,5.13,2.59
553,1.56,3.77,3.5,1.14,5.3,2.66
554,1.75,3.85,3.49,1.16,5.51,2.72
555,1.94,3.93,3.49,1.19,5.7,2.78
556,2.14,4.01,3.47,1.21,5.8,2.82
557,2.33,4.07,3.44,1.23,5.7,2.85
558,2.54,4.13,3.41,1.25,5.51,2.86
559,2.75,4.16,3.38,1.27,5.3,2.85
560,2.97,4.2,3.34,1.29,5.13,2.82
561,3.2,4.2,3.3,1.3,4.95,2.78
562,3.41,4.2,3.25,1.31,4.79,2.72
563,3.65,4.16,3.21,1.31,4.63,2.66
564,3.9,4.13,3.16,1.32,4.48,2.59
565,4.13,4.07,3.1,1.31,4.33,2.52
566,4.4,4.01,3.04,1.31,4.2,2.46
567,4.65,3.93,2.99,1.3,4.06,2.39
568,4.91,3.85,2.92,1.29,3.93,2.32
569,5.19,3.77,2.85,1.27,3.8,2.25
570,5.46,3.66,2.79,1.25,3.93,2.18
571,5.74,3.58,2.83,1.23,4.06,2.11
572,5.96,3.47,2.91,1.21,4.2,2.04
573,6.12,3.37,3.0,1.19,4.33,1.98
574,6.21,3.27,3.08,1.16,4.48,1.91
575,6.21,3.16,3.17,1.14,4.63,1.84
576,6.12,3.06,3.25,1.14,4.79,1.78
577,5.96,2.94,3.34,1.14,4.95,1.71
578,5.74,2.85,3.42,1.15,5.13,1.64
579,5.46,2.74,3.5,1.15,5.3,1.58
580,5.19,2.63,3.58,1.15,5.51,1.51
581,4.91,2.52,3.66,1.14,5.7,1.45
582,4.65,2.42,3.74,1.14,5.8,1.39
583,4.4,2.32,3.81,1.13,5.7,1.33
584,4.13,2.21,3.89,1.12,5.51,1.26
585,3.9,2.11,3.95,1.11,5.3,1.2
586,3.65,2.02,4.02,1.12,5.13,1.14
587,3.41,1.91,4.08,1.14,4.95,1.07
588,3.2,1.81,4.13,1.16,4.9,1.01
589,2.97,1.72,4.18,1.19,4.84,0.95
590,2.75,1.62,4.22,1.21,4.74,0.89
591,2.54,1.52,4.26,1.22,4.63,0.83
592,2.33,1.42,4.28,1.24,4.55,0.77
593,2.14,1.33,4.3,1.25,4.69,0.71
594,1.94,1.23,4.3,1.27,4.84,0.65
595,1.75,1.15,4.3,1.27,4.97,0.59
596,1.56,1.05,4.28,1.28,5.11,0.53
597,1.37,0.95,4.26,1.28,5.22,0.47
598,1.18,0.87,4.22,1.28,5.3,0.42
599,1.0,0.78,4.18,1.27,5.34,0.36
600,0.82,0.68,4.13,1.27,5.3,0.3
601,1.2,3.47,3.6,1.1,4.9,2.48
602,1.39,3.57,3.6,1.13,5.06,2.55
603,1.58,3.65,3.6,1.16,5.22,2.6
604,1.77,3.74,3.59,1.19,5.38,2.66
605,1.96,3.81,3.57,1.21,5.51,2.71
606,2.16,3.87,3.55,1.24,5.55,2.74
607,2.37,3.93,3.53,1.26,5.51,2.77
608,2.58,3.98,3.5,1.28,5.38,2.78
609,2.79,4.01,3.47,1.3,5.22,2.77
610,3.02,4.04,3.43,1.32,5.06,2.74
611,3.22,4.04,3.39,1.33,4.9,2.71
612,3.45,4.04,3.34,1.34,4.75,2.66
613,3.7,4.01,3.29,1.35,4.6,2.6
614,3.95,3.98,3.23,1.35,4.46,2.55
615,4.21,3.93,3.18,1.35,4.32,2.48
616,4.48,3.87,3.12,1.34,4.17,2.42
617,4.74,3.81,3.05,1.33,4.04,2.35
618,5.04,3.74,3.0,1.32,3.9,2.29
619,5.32,3.65,2.93,1.3,3.8,2.22
620,5.63,3.57,2.85,1.28,3.93,2.15
621,5.96,3.47,2.79,1.26,4.06,2.09
622,6.29,3.37,2.87,1.24,4.2,2.02
623,6.56,3.28,2.96,1.21,4.34,1.96
624,6.66,3.19,3.04,1.19,4.49,1.89
625,6.66,3.08,3.12,1.16,4.64,1.83
626,6.56,2.98,3.21,1.17,4.8,1.76
627,6.29,2.88,3.29,1.17,4.97,1.7
628,5.96,2.78,3.37,1.18,5.15,1.63
629,5.63,2.68,3.45,1.18,5.34,1.56
630,5.32,2.57,3.52,1.18,5.55,1.5
631,5.04,2.48,3.6,1.17,5.8,1.44
632,4.74,2.37,3.67,1.17,6.2,1.38
633,4.48,2.27,3.74,1.16,5.8,1.31
634,4.21,2.17,3.81,1.15,5.55,1.25
635,3.95,2.07,3.88,1.14,5.34,1.19
636,3.7,1.97,3.94,1.12,5.15,1.13
637,3.45,1.88,4.0,1.12,4.97,1.07
638,3.22,1.77,4.05,1.14,4.8,1.01
639,3.02,1.68,4.09,1.16,4.69,0.94
640,2.79,1.59,4.13,1.18,4.61,0.88
641,2.58,1.48,4.16,1.2,4.52,0.82
642,2.37,1.39,4.18,1.21,4.6,0.76
643,2.16,1.3,4.2,1.22,4.75,0.7
644,1.96,1.21,4.2,1.23,4.9,0.65
645,1.77,1.12,4.2,1.24,5.06,0.59
646,1.58,1.02,4.18,1.25,5.22,0.53
647,1.39,0.94,4.16,1.25,5.38,0.47
648,1.2,0.84,4.13,1.25,5.51,0.41
649,1.02,0.75,4.09,1.24,5.55,0.35
650,0.84,0.67,4.05,1.23,5.51,0.29
651,1.22,3.37,3.7,1.12,4.84,2.44
652,1.41,3.45,3.7,1.15,4.97,2.49
653,1.59,3.54,3.7,1.18,5.11,2.55
654,1.79,3.61,3.69,1.21,5.22,2.59
655,1.98,3.68,3.67,1.23,5.3,2.63
656,2.18,3.74,3.65,1.26,5.34,2.67
657,2.39,3.79,3.62,1.28,5.3,2.68
658,2.6,3.82,3.59,1.31,5.22,2.69
659,2.82,3.85,3.55,1.33,5.11,2.68
660,3.04,3.88,3.51,1.35,4.97,2.67
661,3.27,3.88,3.47,1.37,4.84,2.63
662,3.5,3.88,3.42,1.38,4.69,2.59
663,3.74,3.85,3.37,1.38,4.55,2.55
664,4.0,3.82,3.31,1.39,4.42,2.49
665,4.23,3.79,3.25,1.38,4.27,2.44
666,4.51,3.74,3.19,1.38,4.15,2.38
667,4.79,3.68,3.13,1.37,4.01,2.32
668,5.1,3.61,3.06,1.35,3.88,2.25
669,5.42,3.54,3.0,1.33,3.8,2.19
670,5.78,3.45,2.92,1.31,3.93,2.13
671,6.12,3.37,2.85,1.28,4.06,2.06
672,6.56,3.28,2.83,1.26,4.2,2.0
673,6.97,3.19,2.91,1.23,4.33,1.93
674,7.21,3.1,3.0,1.21,4.48,1.87
675,7.21,3.01,3.07,1.19,4.63,1.81
676,6.97,2.91,3.16,1.2,4.79,1.74
677,6.56,2.81,3.23,1.21,4.95,1.68
678,6.12,2.71,3.31,1.21,5.13,1.61
679,5.78,2.62,3.39,1.21,5.3,1.55
680,5.42,2.51,3.47,1.21,5.51,1.49
681,5.1,2.42,3.53,1.21,5.7,1.42
682,4.79,2.32,3.6,1.2,5.8,1.36
683,4.51,2.21,3.67,1.19,5.7,1.3
684,4.23,2.13,3.74,1.18,5.51,1.24
685,4.0,2.03,3.8,1.17,5.3,1.17
686,3.74,1.93,3.86,1.15,5.13,1.12
687,3.5,1.83,3.91,1.13,4.95,1.05
688,3.27,1.74,3.96,1.11,4.79,0.99
689,3.04,1.64,4.0,1.13,4.63,0.93
690,2.82,1.54,4.04,1.15,4.48,0.87
691,2.6,1.45,4.06,1.17,4.48,0.82
692,2.39,1.36,4.08,1.18,4.63,0.76
693,2.18,1.26,4.1,1.19,4.79,0.69
694,1.98,1.18,4.1,1.2,4.95,0.64
695,1.79,1.08,4.1,1.21,5.13,0.58
696,1.59,0.99,4.08,1.21,5.3,0.52
697,1.41,0.91,4.06,1.21,5.51,0.46
698,1.22,0.81,4.04,1.21,5.7,0.4
699,1.04,0.73,4.0,1.21,5.8,0.35
700,0.86,0.64,3.96,1.2,5.7,0.29
701,1.22,3.27,3.8,1.14,4.74,2.38
702,1.41,3.35,3.8,1.17,4.85,2.44
703,1.59,3.41,3.8,1.2,4.97,2.48
704,1.79,3.48,3.79,1.22,5.06,2.52
705,1.98,3.55,3.77,1.25,5.13,2.56
706,2.18,3.61,3.75,1.28,5.15,2.59
707,2.39,3.65,3.72,1.31,5.13,2.6
708,2.6,3.69,3.68,1.33,5.06,2.61
709,2.82,3.71,3.64,1.36,4.97,2.6
710,3.04,3.74,3.6,1.38,4.85,2.59
711,3.27,3.74,3.55,1.4,4.74,2.56
712,3.5,3.74,3.5,1.41,4.61,2.52
713,3.74,3.71,3.45,1.42,4.48,2.48
714,4.0,3.69,3.39,1.43,4.36,2.44
715,4.26,3.65,3.33,1.42,4.23,2.38
716,4.53,3.61,3.26,1.41,4.09,2.33
717,4.82,3.55,3.2,1.4,3.97,2.27
718,5.13,3.48,3.13,1.38,3.85,2.21
719,5.46,3.41,3.05,1.36,3.77,2.15
720,5.81,3.35,2.99,1.33,3.9,2.09
721,6.21,3.27,2.91,1.31,4.04,2.03
722,6.66,3.19,2.83,1.28,4.17,1.96
723,7.21,3.1,2.86,1.25,4.32,1.9
724,8.3,3.01,2.94,1.22,4.46,1.84
725,8.3,2.92,3.02,1.22,4.6,1.78
726,7.21,2.83,3.1,1.23,4.75,1.72
727,6.66,2.74,3.18,1.24,4.9,1.66
728,6.21,2.64,3.25,1.25,5.06,1.59
729,5.81,2.55,3.33,1.25,5.22,1.53
730,5.46,2.45,3.4,1.25,5.38,1.47
731,5.13,2.35,3.47,1.24,5.51,1.41
732,4.82,2.26,3.53,1.23,5.55,1.34
733,4.53,2.16,3.6,1.22,5.51,1.28
734,4.26,2.07,3.66,1.21,5.38,1.22
735,4.0,1.97,3.72,1.2,5.22,1.16
736,3.74,1.88,3.77,1.18,5.06,1.1
737,3.5,1.78,3.82,1.16,4.9,1.04
738,3.27,1.69,3.87,1.14,4.75,0.98
739,3.04,1.6,3.91,1.12,4.6,0.92
740,2.82,1.5,3.94,1.12,4.46,0.86
741,2.6,1.41,3.97,1.14,4.49,0.8
742,2.39,1.32,3.98,1.15,4.64,0.74
743,2.18,1.23,4.0,1.16,4.8,0.68
744,1.98,1.14,4.0,1.17,4.97,0.62
745,1.79,1.05,4.0,1.17,5.15,0.56
746,1.59,0.96,3.98,1.18,5.34,0.51
747,1.41,0.87,3.97,1.18,5.55,0.45
748,1.22,0.79,3.94,1.18,5.8,0.39
749,1.04,0.69,3.91,1.17,6.2,0.33
750,0.86,0.61,3.87,1.17,5.8,0.28
751,1.22,3.16,3.9,1.15,4.63,2.33
752,1.41,3.24,3.9,1.18,4.74,2.38
753,1.59,3.31,3.9,1.21,4.84,2.42
754,1.79,3.36,3.89,1.24,4.9,2.46
755,1.98,3.43,3.87,1.27,4.95,2.49
756,2.18,3.47,3.84,1.3,4.97,2.51
757,2.39,3.51,3.81,1.33,4.95,2.52
758,2.6,3.55,3.78,1.36,4.9,2.53
759,2.82,3.58,3.73,1.38,4.84,2.52
760,3.04,3.59,3.69,1.41,4.74,2.51
761,3.27,3.59,3.64,1.43,4.63,2.49
762,3.5,3.59,3.58,1.45,4.52,2.46
763,3.74,3.58,3.52,1.46,4.4,2.42
764,4.0,3.55,3.47,1.46,4.29,2.38
765,4.23,3.51,3.4,1.46,4.16,2.33
766,4.51,3.47,3.33,1.45,4.04,2.28
767,4.79,3.43,3.26,1.43,3.92,2.23
768,5.1,3.36,3.19,1.41,3.8,2.17
769,5.42,3.31,3.12,1.38,3.76,2.11
770,5.78,3.24,3.04,1.36,3.88,2.05
771,6.12,3.16,2.97,1.33,4.01,1.99
772,6.56,3.08,2.89,1.3,4.15,1.94
773,6.97,3.01,2.82,1.27,4.27,1.87
774,7.21,2.92,2.89,1.24,4.42,1.81
775,7.21,2.83,2.97,1.25,4.55,1.75
776,6.97,2.75,3.04,1.27,4.69,1.69
777,6.56,2.65,3.12,1.27,4.84,1.63
778,6.12,2.57,3.19,1.28,4.97,1.57
779,5.78,2.48,3.26,1.28,5.11,1.51
780,5.42,2.38,3.33,1.28,5.22,1.45
781,5.1,2.29,3.4,1.27,5.3,1.38
782,4.79,2.2,3.47,1.27,5.34,1.33
783,4.51,2.1,3.52,1.25,5.3,1.27
784,4.23,2.02,3.58,1.24,5.22,1.2
785,4.0,1.92,3.64,1.22,5.11,1.14
786,3.74,1.82,3.69,1.21,4.97,1.09
787,3.5,1.74,3.73,1.19,4.84,1.02
788,3.27,1.65,3.78,1.16,4.69,0.97
789,3.04,1.55,3.81,1.14,4.55,0.91
790,2.82,1.46,3.84,1.12,4.42,0.85
791,2.6,1.37,3.87,1.11,4.48,0.79
792,2.39,1.28,3.89,1.12,4.63,0.73
793,2.18,1.2,3.9,1.13,4.79,0.67
794,1.98,1.11,3.9,1.14,4.95,0.61
795,1.79,1.01,3.9,1.14,5.13,0.55
796,1.59,0.93,3.89,1.15,5.3,0.5
797,1.41,0.84,3.87,1.15,5.51,0.44
798,1.22,0.75,3.84,1.15,5.7,0.38
799,1.04,0.67,3.81,1.14,5.8,0.32
800,0.86,0.58,3.78,1.14,5.7,0.26
801,1.2,3.06,4.0,1.16,4.52,2.27
802,1.39,3.12,4.0,1.19,4.61,2.32
803,1.58,3.19,4.0,1.22,4.69,2.35
804,1.77,3.24,3.98,1.25,4.75,2.39
805,1.96,3.29,3.97,1.29,4.79,2.41
806,2.16,3.35,3.94,1.32,4.8,2.44
807,2.37,3.39,3.91,1.35,4.79,2.44
808,2.58,3.41,3.87,1.38,4.75,2.45
809,2.79,3.44,3.82,1.41,4.69,2.44
810,3.02,3.45,3.77,1.44,4.61,2.44
811,3.22,3.45,3.72,1.46,4.52,2.41
812,3.45,3.45,3.66,1.48,4.42,2.39
813,3.7,3.44,3.6,1.5,4.32,2.35
814,3.95,3.41,3.53,1.5,4.2,2.32
815,4.21,3.39,3.47,1.5,4.09,2.27
816,4.48,3.35,3.4,1.48,3.97,2.23
817,4.74,3.29,3.33,1.46,3.86,2.18
818,5.04,3.24,3.25,1.44,3.75,2.12
819,5.32,3.19,3.18,1.41,3.72,2.07
820,5.63,3.12,3.1,1.38,3.85,2.01
821,5.96,3.06,3.02,1.35,3.97,1.96
822,6.29,2.98,2.94,1.32,4.09,1.9
823,6.56,2.91,2.86,1.29,4.23,1.84
824,6.66,2.83,2.83,1.27,4.36,1.78
825,6.66,2.75,2.91,1.29,4.48,1.72
826,6.56,2.66,2.99,1.3,4.61,1.66
827,6.29,2.58,3.05,1.31,4.74,1.6
828,5.96,2.49,3.13,1.31,4.85,1.55
829,5.63,2.41,3.2,1.32,4.97,1.49
830,5.32,2.32,3.26,1.31,5.06,1.42
831,5.04,2.23,3.33,1.31,5.13,1.36
832,4.74,2.14,3.39,1.3,5.15,1.31
833,4.48,2.05,3.45,1.29,5.13,1.24
834,4.21,1.95,3.5,1.27,5.06,1.19
835,3.95,1.87,3.55,1.25,4.97,1.12
836,3.7,1.77,3.6,1.23,4.85,1.07
837,3.45,1.69,3.64,1.21,4.74,1.01
838,3.22,1.6,3.68,1.19,4.61,0.95
839,3.02,1.5,3.72,1.16,4.48,0.89
840,2.79,1.42,3.75,1.14,4.36,0.83
841,2.58,1.33,3.77,1.11,4.46,0.77
842,2.37,1.24,3.79,1.09,4.6,0.71
843,2.16,1.16,3.8,1.1,4.75,0.66
844,1.96,1.07,3.8,1.1,4.9,0.6
845,1.77,0.97,3.8,1.11,5.06,0.54
846,1.58,0.89,3.79,1.11,5.22,0.48
847,1.39,0.8,3.77,1.11,5.38,0.43
848,1.2,0.72,3.75,1.11,5.51,0.37
849,1.02,0.63,3.72,1.11,5.55,0.31
850,0.84,0.55,3.68,1.1,5.51,0.25
851,1.18,2.94,4.1,1.17,4.4,2.21
852,1.37,3.01,4.1,1.2,4.48,2.25
853,1.56,3.07,4.1,1.23,4.55,2.29
854,1.75,3.12,4.08,1.27,4.6,2.32
855,1.94,3.17,4.06,1.3,4.63,2.35
856,2.14,3.21,4.04,1.33,4.64,2.36
857,2.33,3.25,4.0,1.37,4.63,2.38
858,2.54,3.28,3.96,1.4,4.6,2.38
859,2.75,3.31,3.91,1.43,4.55,2.38
860,2.97,3.32,3.86,1.46,4.48,2.36
861,3.2,3.32,3.8,1.5,4.4,2.35
862,3.41,3.32,3.74,1.52,4.32,2.32
863,3.65,3.31,3.67,1.54,4.22,2.29
864,3.9,3.28,3.6,1.55,4.12,2.25
865,4.13,3.25,3.53,1.54,4.01,2.21
866,4.4,3.21,3.47,1.52,3.9,2.17
867,4.65,3.17,3.39,1.5,3.8,2.12
868,4.91,3.12,3.31,1.46,3.68,2.08
869,5.19,3.07,3.23,1.43,3.68,2.02
870,5.46,3.01,3.16,1.4,3.8,1.97
871,5.74,2.94,3.07,1.37,3.92,1.91
872,5.96,2.88,3.0,1.33,4.04,1.86
873,6.12,2.81,2.91,1.3,4.16,1.81
874,6.21,2.74,2.83,1.3,4.29,1.74
875,6.21,2.65,2.85,1.32,4.4,1.69
876,6.12,2.58,2.92,1.33,4.52,1.63
877,5.96,2.5,3.0,1.34,4.63,1.57
878,5.74,2.42,3.06,1.35,4.74,1.51
879,5.46,2.33,3.13,1.35,4.84,1.45
880,5.19,2.25,3.19,1.35,4.9,1.4
881,4.91,2.16,3.25,1.34,4.95,1.34
882,4.65,2.07,3.31,1.33,4.97,1.28
883,4.4,1.98,3.37,1.32,4.95,1.22
884,4.13,1.9,3.42,1.3,4.9,1.16
885,3.9,1.81,3.47,1.28,4.84,1.1
886,3.65,1.72,3.51,1.26,4.74,1.05
887,3.41,1.64,3.55,1.24,4.63,0.99
888,3.2,1.54,3.59,1.21,4.52,0.93
889,2.97,1.46,3.62,1.19,4.4,0.87
890,2.75,1.37,3.65,1.16,4.29,0.82
891,2.54,1.28,3.67,1.13,4.42,0.76
892,2.33,1.2,3.69,1.1,4.55,0.7
893,2.14,1.11,3.7,1.08,4.69,0.64
894,1.94,1.02,3.7,1.07,4.84,0.58
895,1.75,0.94,3.7,1.08,4.97,0.53
896,1.56,0.85,3.69,1.08,5.11,0.47
897,1.37,0.77,3.67,1.08,5.22,0.41
898,1.18,0.68,3.65,1.08,5.3,0.36
899,1.0,0.6,3.62,1.08,5.34,0.3
900,0.82,0.51,3.59,1.07,5.3,0.24
901,1.16,2.85,4.2,1.17,4.29,2.15
902,1.33,2.91,4.2,1.21,4.36,2.19
903,1.52,2.96,4.2,1.24,4.42,2.22
904,1.71,3.01,4.18,1.27,4.46,2.25
905,1.9,3.06,4.16,1.31,4.48,2.27
906,2.1,3.1,4.13,1.34,4.49,2.29
907,2.29,3.12,4.09,1.38,4.48,2.3
908,2.49,3.15,4.05,1.41,4.46,2.3
909,2.71,3.17,4.0,1.45,4.42,2.3
910,2.9,3.19,3.94,1.48,4.36,2.29
911,3.13,3.19,3.88,1.52,4.29,2.27
912,3.36,3.19,3.81,1.55,4.2,2.25
913,3.57,3.17,3.74,1.58,4.12,2.22
914,3.79,3.15,3.67,1.59,4.02,2.19
915,4.05,3.12,3.6,1.58,3.93,2.15
916,4.29,3.1,3.52,1.55,3.82,2.11
917,4.51,3.06,3.45,1.52,3.72,2.07
918,4.76,3.01,3.37,1.48,3.62,2.02
919,5.01,2.96,3.29,1.45,3.63,1.97
920,5.23,2.91,3.21,1.41,3.75,1.92
921,5.46,2.85,3.12,1.38,3.86,1.87
922,5.63,2.78,3.04,1.34,3.97,1.82
923,5.78,2.71,2.96,1.31,4.09,1.76
924,5.81,2.64,2.87,1.33,4.2,1.71
925,5.81,2.57,2.79,1.35,4.32,1.66
926,5.78,2.49,2.85,1.37,4.42,1.6
927,5.63,2.42,2.93,1.38,4.52,1.54
928,5.46,2.34,3.0,1.38,4.61,1.49
929,5.23,2.25,3.05,1.39,4.69,1.43
930,5.01,2.17,3.12,1.38,4.75,1.37
931,4.76,2.09,3.18,1.38,4.79,1.31
932,4.51,2.01,3.23,1.37,4.8,1.26
933,4.29,1.92,3.29,1.35,4.79,1.2
934,4.05,1.83,3.34,1.33,4.75,1.14
935,3.79,1.75,3.39,1.31,4.69,1.08
936,3.57,1.67,3.43,1.28,4.61,1.02
937,3.36,1.57,3.47,1.26,4.52,0.97
938,3.13,1.49,3.5,1.23,4.42,0.91
939,2.9,1.4,3.53,1.21,4.32,0.85
940,2.71,1.32,3.55,1.18,4.23,0.8
941,2.49,1.23,3.57,1.15,4.36,0.74
942,2.29,1.15,3.59,1.12,4.48,0.68
943,2.1,1.07,3.6,1.09,4.61,0.62
944,1.9,0.98,3.6,1.06,4.74,0.57
945,1.71,0.9,3.6,1.05,4.85,0.51
946,1.52,0.81,3.59,1.05,4.97,0.45
947,1.33,0.73,3.57,1.05,5.06,0.4
948,1.16,0.65,3.55,1.05,5.13,0.34
949,0.98,0.56,3.53,1.05,5.15,0.29
950,0.8,0.48,3.5,1.04,5.13,0.23
951,1.13,2.74,4.3,1.18,4.16,2.09
952,1.29,2.8,4.3,1.21,4.23,2.13
953,1.48,2.85,4.3,1.25,4.27,2.15
954,1.67,2.89,4.28,1.28,4.32,2.18
955,1.87,2.93,4.26,1.31,4.33,2.2
956,2.04,2.97,4.22,1.35,4.34,2.21
957,2.25,3.01,4.18,1.38,4.33,2.23
958,2.43,3.03,4.13,1.42,4.32,2.23
959,2.64,3.05,4.08,1.46,4.27,2.23
960,2.84,3.06,4.02,1.5,4.23,2.21
961,3.06,3.06,3.95,1.54,4.16,2.2
962,3.27,3.06,3.89,1.58,4.09,2.18
963,3.48,3.05,3.81,1.62,4.01,2.15
964,3.7,3.03,3.74,1.64,3.93,2.13
965,3.92,3.01,3.66,1.62,3.84,2.09
966,4.15,2.97,3.58,1.58,3.73,2.05
967,4.37,2.93,3.5,1.54,3.65,2.01
968,4.59,2.89,3.42,1.5,3.55,1.97
969,4.79,2.85,3.34,1.46,3.57,1.92
970,5.01,2.8,3.25,1.42,3.68,1.87
971,5.19,2.74,3.17,1.38,3.8,1.83
972,5.32,2.68,3.08,1.35,3.9,1.78
973,5.42,2.62,3.0,1.33,4.01,1.72
974,5.46,2.55,2.91,1.36,4.12,1.67
975,5.46,2.48,2.83,1.38,4.22,1.62
976,5.42,2.41,2.79,1.4,4.32,1.56
977,5.32,2.33,2.85,1.41,4.4,1.51
978,5.19,2.25,2.92,1.42,4.48,1.45
979,5.01,2.17,2.99,1.43,4.55,1.4
980,4.79,2.09,3.04,1.42,4.6,1.34
981,4.59,2.02,3.1,1.41,4.63,1.29
982,4.37,1.93,3.16,1.4,4.64,1.23
983,4.15,1.86,3.21,1.38,4.63,1.17
984,3.92,1.77,3.25,1.36,4.6,1.12
985,3.7,1.69,3.3,1.33,4.55,1.06
986,3.48,1.61,3.34,1.31,4.48,1.0
987,3.27,1.52,3.38,1.28,4.4,0.94
988,3.06,1.44,3.41,1.25,4.32,0.89
989,2.84,1.35,3.44,1.22,4.22,0.83
990,2.64,1.27,3.47,1.2,4.16,0.77
991,2.43,1.19,3.49,1.17,4.29,0.72
992,2.25,1.11,3.49,1.14,4.4,0.66
993,2.04,1.02,3.5,1.11,4.52,0.61
994,1.87,0.94,3.5,1.07,4.63,0.55
995,1.67,0.85,3.5,1.05,4.74,0.49
996,1.48,0.77,3.49,1.02,4.84,0.44
997,1.29,0.69,3.49,1.02,4.9,0.38
998,1.13,0.61,3.47,1.02,4.95,0.32
999,0.95,0.53,3.44,1.01,4.97,0.27
1000,0.77,0.44,3.41,1.01,4.95,0.21
1001,1.07,2.63,4.39,1.18,4.04,2.03
1002,1.26,2.69,4.4,1.21,4.09,2.06
1003,1.44,2.74,4.39,1.25,4.15,2.09
1004,1.61,2.78,4.38,1.28,4.17,2.11
1005,1.81,2.82,4.35,1.32,4.2,2.13
1006,1.98,2.86,4.32,1.35,4.2,2.14
1007,2.18,2.88,4.27,1.39,4.2,2.15
1008,2.37,2.91,4.22,1.43,4.17,2.15
1009,2.56,2.92,4.16,1.46,4.15,2.15
1010,2.77,2.93,4.1,1.5,4.09,2.14
1011,2.97,2.93,4.03,1.55,4.04,2.13
1012,3.17,2.93,3.95,1.59,3.97,2.11
1013,3.38,2.92,3.88,1.64,3.9,2.09
1014,3.57,2.91,3.8,1.7,3.82,2.06
1015,3.79,2.88,3.72,1.64,3.73,2.03
1016,4.0,2.86,3.64,1.59,3.66,1.99
1017,4.21,2.82,3.55,1.55,3.56,1.96
1018,4.4,2.78,3.47,1.5,3.47,1.91
1019,4.59,2.74,3.39,1.46,3.51,1.87
1020,4.76,2.69,3.3,1.43,3.62,1.83
1021,4.91,2.63,3.22,1.39,3.72,1.78
1022,5.04,2.57,3.13,1.35,3.82,1.73
1023,5.1,2.51,3.04,1.36,3.93,1.68
1024,5.13,2.45,2.95,1.38,4.02,1.63
1025,5.13,2.38,2.86,1.41,4.12,1.58
1026,5.1,2.32,2.78,1.43,4.2,1.53
1027,5.04,2.25,2.79,1.45,4.29,1.47
1028,4.91,2.17,2.85,1.46,4.36,1.42
1029,4.76,2.09,2.91,1.46,4.42,1.36
1030,4.59,2.02,2.97,1.46,4.46,1.31
1031,4.4,1.94,3.02,1.45,4.48,1.26
1032,4.21,1.87,3.07,1.43,4.49,1.2
1033,4.0,1.78,3.12,1.41,4.48,1.14
1034,3.79,1.71,3.17,1.38,4.46,1.09
1035,3.57,1.63,3.22,1.36,4.42,1.03
1036,3.38,1.54,3.25,1.33,4.36,0.97
1037,3.17,1.46,3.29,1.3,4.29,0.92
1038,2.97,1.38,3.32,1.27,4.2,0.86
1039,2.77,1.3,3.35,1.24,4.12,0.81
1040,2.56,1.22,3.37,1.21,4.09,0.76
1041,2.37,1.14,3.39,1.18,4.2,0.69
1042,2.18,1.05,3.4,1.15,4.32,0.64
1043,1.98,0.97,3.41,1.12,4.42,0.59
1044,1.81,0.89,3.41,1.09,4.52,0.53
1045,1.61,0.81,3.41,1.05,4.61,0.47
1046,1.44,0.73,3.4,1.03,4.69,0.42
1047,1.26,0.65,3.39,0.99,4.75,0.36
1048,1.07,0.56,3.37,0.99,4.79,0.31
1049,0.91,0.48,3.35,0.98,4.8,0.25
1050,0.73,0.4,3.32,0.98,4.79,0.19
1051,1.04,2.52,4.49,1.18,3.92,1.96
1052,1.2,2.58,4.5,1.21,3.97,2.0
1053,1.39,2.63,4.49,1.25,4.01,2.02
1054,1.56,2.66,4.48,1.28,4.04,2.04
1055,1.75,2.7,4.45,1.31,4.06,2.06
1056,1.92,2.74,4.41,1.35,4.06,2.08
1057,2.1,2.76,4.36,1.38,4.06,2.08
1058,2.29,2.78,4.3,1.42,4.04,2.08
1059,2.47,2.8,4.24,1.46,4.01,2.08
1060,2.66,2.81,4.17,1.5,3.97,2.08
1061,2.86,2.81,4.1,1.54,3.92,2.06
1062,3.06,2.81,4.02,1.58,3.86,2.04
1063,3.27,2.8,3.94,1.62,3.8,2.02
1064,3.45,2.78,3.86,1.64,3.72,2.0
1065,3.65,2.76,3.77,1.62,3.65,1.96
1066,3.84,2.74,3.69,1.58,3.56,1.94
1067,4.02,2.7,3.6,1.54,3.47,1.9
1068,4.21,2.66,3.51,1.5,3.39,1.86
1069,4.37,2.63,3.43,1.46,3.45,1.82
