id,cf1,cf2,cf3,cf4,cf5
635,3.53,4.65,3.78,4.22,2.93
636,1.48,3.63,5.83,6.07,2.07
637,1.75,5.1,7.05,6.83,1.22
638,2.04,6.17,4.85,5.22,1.3
639,1.61,7.08,4.41,6.96,1.47
640,1.43,4.94,5.19,5.28,0.96
641,0.85,0.36,8.49,5.62,1.18
642,1.61,0.46,8.24,5.69,0.84
643,1.22,0.63,9.67,7.54,1.34
644,1.86,0.81,11.06,6.98,1.95
645,1.91,0.95,7.68,8.27,2.43
646,3.02,0.91,10.43,6.73,1.84
647,4.03,1.21,11.26,5.73,2.29
648,3.09,1.17,11.03,6.02,2.75
649,3.77,1.95,8.7,4.47,2.27
650,2.98,1.6,5.76,7.68,2.93
651,3.84,1.68,7.76,6.27,4.26
652,5.07,1.96,5.91,4.81,2.98
653,3.29,1.85,7.56,4.86,3.55
654,3.59,1.88,6.6,5.08,4.58
655,4.87,2.73,6.88,5.16,4.41
656,5.25,3.57,5.0,4.56,3.98
657,5.03,2.83,7.8,5.69,5.39
658,5.88,3.5,6.26,5.79,4.88
659,4.21,3.12,7.46,5.53,7.25
660,5.5,2.3,5.55,5.48,3.33
661,3.73,3.54,6.81,6.75,6.51
662,4.21,4.4,7.12,5.44,5.28
663,5.13,3.46,6.2,5.51,5.2
664,4.71,2.71,5.0,6.78,5.35
665,4.28,5.15,8.84,6.16,3.73
666,2.81,5.11,8.23,9.03,4.44
667,3.85,4.58,5.43,9.32,3.97
668,2.63,4.64,5.22,7.84,4.93
669,2.31,3.41,4.6,5.6,2.77
670,3.21,4.79,6.56,8.67,2.88
671,4.18,5.07,6.36,8.5,2.19
672,2.54,4.63,7.66,8.13,3.4
673,3.5,3.02,4.7,6.96,2.82
674,4.06,5.31,5.04,8.33,2.7
675,2.01,5.36,4.27,9.76,1.75
676,2.7,3.85,3.91,7.54,1.94
677,2.54,5.56,4.26,5.98,1.31
678,1.36,8.32,5.23,6.12,1.81
679,1.46,4.22,4.22,5.63,1.23
680,0.73,4.94,4.73,5.41,1.18
681,1.15,0.48,8.54,8.46,1.02
682,0.99,0.39,7.09,7.09,0.89
683,1.66,0.51,10.7,5.38,1.57
684,1.81,0.78,7.7,8.25,1.56
685,2.69,1.01,9.53,3.43,2.67
686,2.46,1.22,8.77,6.69,1.05
687,2.23,1.3,8.99,6.06,2.94
688,2.41,1.32,9.73,4.55,2.23
689,3.39,2.18,6.23,9.46,3.27
690,3.32,0.86,6.78,5.33,3.26
691,4.28,1.72,5.24,5.94,3.05
692,3.74,1.9,7.79,4.77,3.53
693,2.97,2.34,8.71,6.36,3.66
694,3.46,2.11,6.99,4.42,2.11
695,3.94,2.11,4.86,6.82,3.88
696,2.0,2.91,7.53,3.22,4.5
697,3.8,3.03,6.18,3.29,3.66
698,5.5,3.75,4.82,3.07,2.62
699,6.62,3.67,6.19,5.73,4.05
700,4.12,3.26,7.39,6.27,4.82
701,4.27,3.78,5.39,5.48,3.9
702,5.2,4.51,5.67,5.77,3.76
703,4.8,5.87,7.08,5.5,5.47
704,4.82,2.66,5.23,5.83,4.4
705,4.52,3.7,5.77,6.84,3.1
706,4.01,4.52,5.39,10.27,3.49
707,3.08,4.1,4.17,5.53,2.71
708,5.08,3.79,6.68,6.61,4.12
709,3.58,4.87,3.17,8.39,4.48
710,3.57,5.06,8.34,7.67,3.31
711,2.68,4.62,6.77,5.42,2.87
712,3.4,5.13,4.75,10.07,2.24
713,2.61,5.69,4.99,7.36,2.79
714,2.75,5.99,6.53,6.49,2.12
715,2.49,4.97,4.69,9.25,1.83
716,1.73,6.47,5.43,7.3,2.24
717,1.78,6.18,6.93,6.3,1.56
718,0.89,6.39,5.23,5.2,1.55
719,1.4,4.23,3.92,5.72,1.02
720,1.01,5.15,4.87,4.56,1.16
721,0.52,0.31,6.62,8.22,1.17
722,1.77,0.35,10.29,7.05,1.38
723,1.72,0.5,5.4,8.22,1.01
724,1.86,0.81,5.75,11.51,1.26
725,2.36,0.88,5.79,7.17,1.99
726,1.71,0.86,7.25,9.13,2.06
727,3.04,0.59,8.51,8.12,2.8
728,2.62,1.3,7.38,7.45,2.08
729,2.14,1.11,8.58,7.35,2.86
730,2.9,2.13,8.13,7.27,1.95
731,4.08,1.8,8.62,7.08,3.07
732,3.38,1.7,5.89,5.67,2.89
733,4.0,2.56,7.26,7.31,3.36
734,4.51,2.67,7.26,6.08,2.59
735,4.59,2.76,4.73,5.83,4.14
736,4.94,1.91,3.95,4.04,1.42
737,4.02,3.34,7.33,5.86,4.38
738,3.43,2.75,5.95,6.5,4.98
739,2.93,2.45,5.14,3.28,5.52
740,3.98,2.84,6.28,3.9,5.74
741,4.05,4.55,6.03,5.2,3.29
742,4.31,4.13,5.23,5.38,4.64
743,2.89,3.88,3.69,4.3,3.71
744,3.9,3.89,5.74,6.06,3.64
745,3.3,4.2,4.97,8.45,2.67
746,3.26,3.54,5.95,5.85,3.63
747,4.25,5.18,6.34,4.32,2.6
748,3.49,5.34,5.91,6.39,2.02
749,3.14,4.22,6.55,4.18,2.73
750,3.58,4.74,6.22,7.89,3.02
751,2.78,4.58,5.23,7.09,2.49
752,4.3,4.98,5.89,4.99,2.8
753,2.46,5.17,5.79,7.83,2.61
754,2.18,4.14,8.01,7.26,1.77
755,1.4,5.39,4.28,6.19,2.47
756,2.28,6.26,4.55,7.87,1.9
757,1.56,4.88,2.94,7.79,1.32
758,1.51,3.95,5.0,7.16,0.98
759,1.13,3.36,4.73,6.07,1.17
760,0.62,6.36,2.75,7.56,1.12
761,1.11,0.28,8.17,8.0,0.73
762,1.35,0.4,8.48,8.63,0.81
763,1.56,0.35,6.47,4.84,1.03
764,1.57,0.62,8.19,8.95,1.91
765,1.65,0.93,8.59,8.69,1.52
766,2.26,1.0,8.88,7.99,1.46
767,2.18,1.28,4.53,7.06,1.74
768,2.46,1.32,7.42,6.02,1.71
769,3.11,1.79,7.34,7.89,2.95
770,2.39,1.63,8.41,5.87,3.57
771,2.39,2.08,8.55,8.91,3.4
772,3.97,1.53,6.0,6.36,3.48
773,1.79,2.2,7.54,6.12,3.36
774,3.0,2.46,5.85,6.56,3.33
775,5.94,1.11,6.36,5.68,2.9
776,4.35,2.17,4.92,5.31,3.86
777,3.28,2.71,5.14,4.04,3.0
778,4.74,3.06,7.45,4.56,3.42
779,4.47,3.08,4.51,7.02,4.14
780,5.4,2.78,5.52,5.48,3.65
781,3.16,4.65,2.8,6.63,3.76
782,2.96,2.35,7.78,4.93,4.74
783,3.88,3.84,6.02,6.64,3.97
784,4.27,3.5,3.67,6.27,3.68
785,3.95,3.88,5.15,4.46,4.59
786,3.77,4.01,5.83,6.35,4.75
787,4.74,4.03,5.56,5.61,3.31
788,2.02,3.86,4.0,5.54,3.19
789,3.67,4.76,5.78,6.66,3.14
790,2.25,3.66,6.64,4.58,3.09
791,2.14,4.09,5.01,6.05,2.4
792,2.98,2.98,4.3,6.42,3.34
793,3.13,4.93,5.01,6.12,1.97
794,1.91,5.59,4.47,7.29,2.35
795,1.75,5.24,5.43,6.86,1.57
796,1.79,4.17,4.81,7.81,1.58
797,1.71,4.4,4.46,6.63,1.54
798,1.51,4.52,3.91,6.69,0.94
799,1.01,3.79,3.21,7.39,1.09
800,0.35,4.8,4.64,6.51,0.8
801,0.84,0.18,6.97,8.6,0.73
802,0.85,0.37,7.22,9.09,1.12
803,1.28,0.52,5.7,9.19,1.58
804,1.67,0.42,9.24,9.44,1.08
805,2.32,0.85,7.2,7.39,1.31
806,2.12,1.0,7.11,3.96,2.09
807,2.23,1.26,9.63,6.29,2.05
808,1.95,1.47,6.4,8.92,2.5
809,3.18,1.06,7.78,7.16,2.47
810,2.79,1.67,8.32,5.48,2.96
811,1.71,1.84,7.0,5.24,3.89
812,3.35,1.77,8.98,8.0,2.21
813,3.62,2.05,7.19,5.44,3.11
814,1.87,1.97,7.93,7.01,2.57
815,4.71,1.6,5.65,6.72,2.82
816,2.6,2.01,5.95,4.19,4.25
817,4.8,2.3,3.58,5.32,4.35
818,4.26,1.96,6.54,5.62,4.43
819,4.57,2.69,3.14,6.92,3.92
820,3.33,3.89,4.6,7.05,3.75
821,4.01,3.66,6.85,4.93,3.73
822,4.48,3.96,6.79,5.59,3.89
823,3.65,2.87,5.63,5.88,3.35
824,2.81,2.6,6.69,7.68,2.95
825,2.9,4.8,7.26,5.86,3.78
826,3.47,3.04,4.6,5.03,2.5
827,4.32,4.14,3.22,7.61,2.45
828,2.53,4.9,5.87,4.39,2.94
829,3.44,4.17,7.1,8.09,3.13
830,2.47,4.72,2.94,6.02,3.08
831,2.34,4.08,4.9,5.14,3.44
832,2.4,4.77,4.6,7.63,2.78
833,3.09,3.34,4.98,6.67,1.49
834,2.24,4.32,3.83,5.05,2.12
835,1.57,4.37,4.28,6.16,2.06
836,1.29,5.19,4.55,7.1,1.25
837,1.75,3.9,5.3,7.56,1.38
838,1.4,4.05,4.48,6.38,1.15
839,1.67,4.77,3.05,6.72,1.14
840,0.59,3.92,4.0,7.0,0.49
841,0.5,0.18,3.46,7.01,0.72
842,0.51,0.21,8.77,10.04,0.61
843,0.97,0.39,8.45,9.45,1.11
844,1.12,0.7,7.99,8.66,1.8
845,1.19,0.6,7.97,9.29,1.95
846,1.49,0.76,9.19,8.08,1.42
847,2.67,1.08,8.17,6.72,1.34
848,2.19,1.1,6.96,8.14,1.58
849,2.35,1.31,6.85,6.14,2.45
850,2.54,1.72,5.37,6.79,2.49
851,3.86,1.88,4.49,5.98,1.78
852,3.08,1.68,8.24,5.63,1.87
853,3.13,1.76,8.94,4.06,2.27
854,5.0,2.34,3.56,7.05,3.07
855,3.33,2.61,6.76,5.23,2.66
856,3.18,2.06,7.67,5.35,3.67
857,3.38,2.44,5.44,5.12,3.11
858,3.23,1.6,4.84,4.47,2.56
859,3.33,3.67,4.85,4.14,2.16
860,3.25,2.79,4.91,4.94,3.73
861,3.39,2.87,4.44,4.69,3.23
862,3.1,3.81,4.93,4.68,3.64
863,3.95,3.58,5.99,6.68,3.1
864,3.31,3.53,6.41,6.01,4.35
865,3.85,2.68,4.26,5.11,2.42
866,3.11,4.11,6.19,5.53,3.56
867,2.95,3.52,6.14,4.11,2.85
868,1.61,3.69,4.74,5.86,2.44
869,2.5,2.67,5.7,6.55,2.58
870,3.16,3.79,6.05,5.84,3.03
871,2.83,4.55,3.23,7.73,1.94
872,1.98,4.31,5.94,7.53,2.2
873,2.33,3.74,5.82,5.2,2.47
874,2.07,4.11,4.14,6.64,1.73
875,1.74,3.21,3.88,6.22,1.21
876,1.78,4.17,4.26,6.72,0.9
877,1.28,3.98,4.11,8.39,1.11
878,0.99,5.44,4.32,4.99,0.83
879,1.2,5.39,4.05,6.78,0.84
880,0.5,4.96,3.23,4.55,0.39
881,0.46,0.11,8.57,6.3,0.33
882,0.8,0.22,5.38,8.46,0.66
883,1.13,0.42,7.92,8.39,0.49
884,1.12,0.39,6.22,12.36,1.19
885,1.39,0.76,5.76,6.67,0.76
886,1.82,0.82,6.68,8.24,1.18
887,1.62,0.99,5.46,9.91,1.86
888,1.75,0.79,6.33,9.5,2.1
889,2.57,0.65,6.38,8.83,2.13
890,2.23,0.74,5.94,6.93,2.23
891,2.14,1.29,4.18,5.92,2.36
892,2.33,1.98,8.31,5.48,3.45
893,2.05,1.69,4.28,7.73,2.05
894,2.7,1.08,6.22,4.66,1.65
895,4.23,1.64,4.53,5.17,2.24
896,3.33,1.95,4.45,6.12,3.46
897,3.12,2.18,5.55,4.77,2.94
898,3.16,1.51,6.22,5.31,3.46
899,2.68,2.08,6.52,3.6,2.76
900,2.94,3.12,4.8,7.19,2.67
901,3.04,2.71,3.97,5.31,3.02
902,3.34,2.92,4.43,4.97,3.01
903,4.41,1.3,7.39,7.79,2.82
904,2.84,3.63,6.36,5.34,3.08
905,3.35,3.73,4.84,2.34,2.65
906,2.3,3.81,5.88,5.47,2.69
907,2.58,2.91,5.34,5.82,1.87
908,3.01,3.27,5.05,3.49,2.15
909,2.21,3.12,5.21,3.74,2.66
910,2.39,3.81,4.29,6.92,2.55
911,3.08,4.68,4.24,4.07,2.41
912,1.82,3.33,4.67,8.35,1.67
913,2.01,3.74,5.04,5.84,1.5
914,2.18,3.77,4.72,7.51,1.91
915,1.84,3.01,3.99,5.27,1.22
916,1.77,2.96,4.31,4.98,1.07
917,1.02,3.91,5.51,4.47,0.92
918,0.86,4.68,3.5,6.1,1.02
919,0.89,3.76,4.31,5.73,0.77
920,0.42,4.75,3.45,4.76,0.53
921,0.41,0.07,6.23,6.61,0.25
922,0.52,0.17,5.8,11.32,0.57
923,0.55,0.37,6.71,8.89,0.61
924,1.2,0.43,3.97,9.12,0.74
925,1.2,0.46,9.76,8.37,1.0
926,1.43,0.75,8.37,5.56,0.99
927,1.57,0.76,6.49,10.57,1.24
928,1.84,1.28,7.75,8.85,1.64
929,1.17,1.26,3.6,6.46,2.03
930,1.57,0.82,6.34,6.51,2.1
931,0.93,1.17,6.54,5.47,2.68
932,3.54,1.39,7.44,5.34,2.18
933,2.72,1.91,6.2,6.38,1.87
934,2.65,1.42,6.39,7.01,3.41
935,2.37,2.05,6.26,4.37,2.73
936,3.26,2.12,5.33,7.58,2.62
937,3.31,2.69,5.28,6.41,2.14
938,2.3,2.37,4.59,6.37,3.32
939,2.82,2.82,4.2,5.44,2.92
940,2.79,2.6,3.61,6.48,3.57
941,3.41,2.52,3.67,3.19,3.28
942,2.87,3.92,4.63,4.34,3.02
943,3.25,2.78,3.15,5.83,2.29
944,3.31,3.45,6.1,5.57,2.42
945,2.04,2.44,3.95,5.11,2.29
946,2.62,3.62,5.62,5.58,3.18
947,2.82,3.39,4.64,3.93,2.04
948,1.84,3.35,4.84,6.18,2.61
949,2.47,4.02,4.57,4.93,1.9
950,2.22,4.3,4.68,5.6,1.88
951,2.23,4.82,4.14,5.39,2.25
952,2.09,4.43,4.27,3.44,1.56
953,1.85,3.27,4.36,6.2,1.52
954,0.87,3.27,4.3,4.23,1.3
955,1.2,5.82,3.99,4.27,1.46
956,1.41,5.68,4.3,6.37,0.77
957,1.01,4.05,3.57,5.43,0.98
958,0.89,3.86,4.27,3.2,0.26
959,0.67,4.5,3.32,5.96,0.38
960,0.39,5.21,2.78,5.39,0.28
961,0.2,0.0,4.77,9.62,0.19
962,0.5,0.08,7.14,9.33,0.45
963,0.56,0.24,5.2,7.41,0.52
964,0.67,0.44,6.93,9.54,0.61
965,1.07,0.38,6.71,6.95,1.07
966,1.13,0.8,7.62,6.37,1.12
967,1.21,0.92,6.18,5.38,1.38
968,1.62,0.75,5.76,9.72,1.29
969,2.17,1.49,5.0,6.24,1.59
970,2.05,1.17,4.97,5.11,1.6
971,1.63,1.29,8.28,5.86,1.47
972,2.07,1.11,6.78,8.51,2.17
973,2.36,1.62,4.28,6.88,1.85
974,1.86,0.99,6.9,7.59,1.81
975,1.66,2.1,5.31,3.74,1.44
976,2.84,1.93,5.98,5.49,1.95
977,2.73,1.44,4.91,4.29,2.44
978,2.42,2.0,4.23,5.82,2.57
979,2.33,2.85,4.23,4.29,2.89
980,1.82,1.83,4.6,3.42,1.93
981,3.25,2.11,5.07,4.23,2.0
982,3.18,1.83,3.18,5.41,2.33
983,3.9,2.91,5.02,5.04,2.05
984,2.67,2.7,4.92,6.23,3.0
985,2.66,2.67,4.02,5.2,2.49
986,2.73,2.72,4.46,5.08,2.18
987,1.27,4.0,4.64,6.44,3.03
988,1.7,4.27,3.32,5.5,2.11
989,3.25,3.87,5.14,5.1,1.96
990,2.31,2.91,2.55,5.15,1.38
991,2.27,3.44,5.26,6.87,1.9
992,1.54,2.67,4.14,7.33,1.67
993,1.58,4.84,5.01,4.61,1.13
994,1.46,3.2,3.34,5.99,1.15
995,1.36,3.91,5.19,4.81,1.37
996,0.84,3.42,4.19,7.26,0.78
997,1.01,3.87,2.23,5.07,0.74
998,0.6,4.89,2.24,5.49,0.76
999,0.4,3.13,2.28,5.56,0.3
1000,0.15,2.89,2.77,4.45,0.25
