id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6,m_cf7,m_cf8,m_cf9,m_cf10
331,3.32,2.77,16.02,7.19,70.11,0.54,9.75,8.43,8.16,6.76
332,3.2,2.69,15.72,6.98,71.58,0.52,9.8,8.6,7.87,6.7
333,3.08,2.61,15.42,6.74,73.26,0.5,9.85,8.78,7.6,6.64
334,2.97,2.53,15.11,6.5,74.74,0.49,9.89,8.95,7.33,6.56
335,2.83,2.43,14.73,6.28,76.0,0.47,9.92,9.12,7.07,6.48
336,2.7,2.34,14.33,6.04,77.26,0.45,9.95,9.29,6.84,6.39
337,2.58,2.24,13.93,5.8,78.32,0.43,9.97,9.45,6.59,6.29
338,2.43,2.14,13.44,5.59,79.37,0.42,9.98,9.62,6.34,6.19
339,2.31,2.04,13.0,5.35,80.0,0.4,9.99,9.76,6.1,6.07
340,2.17,1.94,12.49,5.11,80.63,0.38,9.98,9.83,5.86,5.95
341,2.04,1.83,11.95,4.87,80.84,0.37,9.97,9.76,5.63,5.82
342,1.9,1.72,11.4,4.63,81.05,0.35,9.95,9.62,5.4,5.7
343,1.77,1.61,10.82,4.41,80.84,0.34,9.92,9.45,5.17,5.56
344,1.62,1.49,10.15,4.17,80.63,0.32,9.89,9.29,4.94,5.42
345,1.5,1.38,9.54,3.93,80.0,0.31,9.85,9.12,4.72,5.27
346,1.36,1.26,8.83,3.69,79.37,0.29,9.8,8.95,4.5,5.13
347,1.22,1.14,8.1,3.45,78.32,0.28,9.75,8.78,4.28,4.97
348,1.09,1.03,7.42,3.21,77.26,0.26,9.68,8.6,4.06,4.81
349,0.96,0.91,6.64,2.97,76.0,0.25,9.61,8.43,3.85,4.66
350,0.83,0.79,5.84,2.73,74.74,0.24,9.53,8.28,3.63,4.5
351,2.14,1.91,12.35,5.4,12.0,0.51,9.63,5.86,3.4,7.56
352,2.27,2.02,12.88,5.64,14.11,0.53,9.67,5.86,3.61,7.76
353,2.42,2.12,13.38,5.85,16.21,0.54,9.7,5.84,3.82,7.96
354,2.56,2.23,13.87,6.09,18.32,0.56,9.73,5.83,4.04,8.13
355,2.7,2.34,14.33,6.33,20.21,0.57,9.75,5.81,4.26,8.33
356,2.83,2.43,14.73,6.57,22.32,0.58,9.75,5.78,4.48,8.51
357,2.97,2.53,15.11,6.81,24.42,0.58,9.76,5.74,4.7,8.68
358,3.1,2.62,15.47,7.03,26.53,0.59,9.75,5.69,4.92,8.86
359,3.24,2.72,15.82,7.27,28.42,0.59,9.75,5.64,5.15,9.02
360,3.36,2.8,16.11,7.51,30.53,0.59,9.73,5.59,5.37,9.17
361,3.48,2.88,16.39,7.72,32.63,0.58,9.7,5.52,5.61,9.29
362,3.59,2.94,16.62,7.96,34.74,0.58,9.67,5.45,5.84,9.37
363,3.69,3.01,16.83,8.18,36.63,0.57,9.63,5.38,6.05,9.41
364,3.8,3.08,17.04,8.39,38.74,0.56,9.58,5.52,6.29,9.37
365,3.89,3.13,17.21,8.61,40.63,0.56,9.52,5.69,6.54,9.29
366,3.95,3.17,17.33,8.8,42.74,0.57,9.46,5.86,6.79,9.17
367,4.02,3.21,17.44,8.99,44.84,0.59,9.39,6.03,7.04,9.02
368,4.04,3.23,17.48,9.14,46.74,0.61,9.31,6.21,7.3,8.86
369,4.09,3.25,17.56,9.23,48.63,0.63,9.22,6.38,7.54,8.68
370,4.09,3.25,17.56,9.28,50.74,0.65,9.12,6.55,7.82,8.51
371,4.09,3.25,17.56,9.23,52.63,0.66,9.03,6.72,8.07,8.33
372,4.09,3.25,17.56,9.14,54.74,0.67,8.92,6.9,8.33,8.13
373,4.09,3.25,17.56,8.99,56.63,0.68,9.01,7.07,8.6,7.96
374,4.04,3.23,17.48,8.8,58.53,0.67,9.12,7.24,8.86,7.76
375,4.02,3.21,17.44,8.61,60.42,0.66,9.23,7.41,9.06,7.56
376,3.95,3.17,17.33,8.39,62.32,0.65,9.34,7.59,9.13,7.39
377,3.89,3.13,17.21,8.18,64.21,0.63,9.42,7.76,9.06,7.19
378,3.8,3.08,17.04,7.96,66.11,0.61,9.51,7.93,8.86,7.05
379,3.69,3.01,16.83,7.72,67.79,0.59,9.6,8.1,8.6,7.03
380,3.59,2.94,16.62,7.51,69.68,0.57,9.66,8.28,8.33,6.99
381,3.48,2.88,16.39,7.27,71.37,0.56,9.73,8.45,8.07,6.95
382,3.36,2.8,16.11,7.03,73.05,0.53,9.78,8.62,7.82,6.9
383,3.24,2.72,15.82,6.81,74.74,0.51,9.83,8.79,7.54,6.82
384,3.1,2.62,15.47,6.57,76.21,0.5,9.87,8.97,7.3,6.74
385,2.97,2.53,15.11,6.33,77.68,0.48,9.91,9.14,7.04,6.66
386,2.83,2.43,14.73,6.09,78.95,0.46,9.93,9.31,6.79,6.56
387,2.7,2.34,14.33,5.85,80.21,0.44,9.95,9.48,6.54,6.46
388,2.56,2.23,13.87,5.64,81.26,0.42,9.96,9.66,6.29,6.35
389,2.42,2.12,13.38,5.4,82.11,0.41,9.97,9.83,6.05,6.23
390,2.27,2.02,12.88,5.16,82.74,0.39,9.96,10.0,5.84,6.11
391,2.14,1.91,12.35,4.92,82.95,0.37,9.95,9.83,5.61,5.97
392,1.98,1.79,11.74,4.68,83.16,0.36,9.93,9.66,5.37,5.83
393,1.85,1.68,11.18,4.44,82.95,0.34,9.91,9.48,5.15,5.7
394,1.7,1.56,10.53,4.2,82.74,0.33,9.87,9.31,4.92,5.54
395,1.58,1.45,9.93,3.96,82.11,0.31,9.83,9.14,4.7,5.4
396,1.43,1.33,9.23,3.72,81.26,0.3,9.78,8.97,4.48,5.25
397,1.29,1.21,8.51,3.48,80.21,0.28,9.73,8.79,4.26,5.09
398,1.16,1.09,7.76,3.24,78.95,0.27,9.66,8.62,4.04,4.93
399,1.02,0.97,6.99,3.0,77.68,0.25,9.6,8.45,3.82,4.77
400,0.89,0.85,6.2,2.78,76.21,0.24,9.51,8.28,3.61,4.6
401,2.22,1.98,12.68,5.42,12.42,0.53,9.68,6.03,3.38,7.52
402,2.38,2.1,13.26,5.66,14.53,0.54,9.72,6.03,3.59,7.7
403,2.52,2.2,13.75,5.9,16.63,0.56,9.75,6.02,3.8,7.88
404,2.67,2.31,14.22,6.14,18.74,0.57,9.78,6.0,4.02,8.07
405,2.82,2.42,14.67,6.38,20.63,0.59,9.8,5.98,4.23,8.25
406,2.97,2.53,15.11,6.62,22.74,0.6,9.81,5.95,4.45,8.41
407,3.1,2.62,15.47,6.83,24.84,0.61,9.82,5.9,4.67,8.59
408,3.24,2.72,15.82,7.07,26.95,0.61,9.81,5.86,4.9,8.74
409,3.38,2.81,16.16,7.31,29.05,0.62,9.8,5.79,5.1,8.88
410,3.52,2.9,16.48,7.55,30.95,0.61,9.78,5.74,5.33,9.02
411,3.65,2.98,16.75,7.79,33.05,0.61,9.75,5.67,5.56,9.12
412,3.78,3.06,17.0,8.03,35.16,0.6,9.72,5.6,5.79,9.19
413,3.89,3.13,17.21,8.25,37.26,0.59,9.68,5.53,6.03,9.21
414,4.0,3.2,17.4,8.49,39.16,0.57,9.63,5.52,6.25,9.19
415,4.09,3.25,17.56,8.71,41.26,0.57,9.58,5.69,6.49,9.12
416,4.18,3.31,17.71,8.92,43.37,0.59,9.51,5.86,6.74,9.02
417,4.23,3.33,17.78,9.14,45.26,0.61,9.44,6.03,6.97,8.88
418,4.27,3.36,17.85,9.33,47.37,0.63,9.37,6.21,7.22,8.74
419,4.32,3.39,17.92,9.47,49.47,0.65,9.28,6.38,7.46,8.59
420,4.32,3.39,17.92,9.52,51.37,0.68,9.18,6.55,7.71,8.41
421,4.32,3.39,17.92,9.47,53.47,0.69,9.08,6.72,7.96,8.25
422,4.32,3.39,17.92,9.33,55.37,0.71,8.97,6.9,8.18,8.07
423,4.32,3.39,17.92,9.14,57.47,0.71,8.99,7.07,8.42,7.88
424,4.27,3.36,17.85,8.92,59.37,0.71,9.1,7.24,8.6,7.7
425,4.23,3.33,17.78,8.71,61.26,0.69,9.2,7.41,8.73,7.52
426,4.18,3.31,17.71,8.49,63.16,0.68,9.31,7.59,8.79,7.33
427,4.09,3.25,17.56,8.25,65.05,0.65,9.41,7.76,8.73,7.25
428,4.0,3.2,17.4,8.03,66.95,0.63,9.49,7.93,8.6,7.25
429,3.89,3.13,17.21,7.79,68.84,0.61,9.56,8.1,8.42,7.23
430,3.78,3.06,17.0,7.55,70.74,0.59,9.64,8.28,8.18,7.19
431,3.65,2.98,16.75,7.31,72.63,0.57,9.7,8.43,7.96,7.13
432,3.52,2.9,16.48,7.07,74.32,0.55,9.75,8.6,7.71,7.07
433,3.38,2.81,16.16,6.83,76.0,0.52,9.81,8.78,7.46,7.01
434,3.24,2.72,15.82,6.62,77.68,0.5,9.85,8.95,7.22,6.92
435,3.1,2.62,15.47,6.38,79.16,0.48,9.88,9.12,6.97,6.84
436,2.97,2.53,15.11,6.14,80.63,0.46,9.91,9.29,6.74,6.74
437,2.82,2.42,14.67,5.9,81.89,0.45,9.92,9.45,6.49,6.62
438,2.67,2.31,14.22,5.66,82.95,0.43,9.94,9.62,6.25,6.5
439,2.52,2.2,13.75,5.42,84.0,0.41,9.94,9.76,6.03,6.39
440,2.38,2.1,13.26,5.18,84.63,0.39,9.94,9.83,5.79,6.25
441,2.22,1.98,12.68,4.94,85.05,0.38,9.92,9.76,5.56,6.11
442,2.09,1.87,12.15,4.7,85.26,0.36,9.91,9.62,5.33,5.97
443,1.93,1.75,11.54,4.46,85.05,0.34,9.88,9.45,5.1,5.82
444,1.79,1.63,10.89,4.22,84.63,0.33,9.85,9.29,4.9,5.68
445,1.66,1.52,10.31,3.98,84.0,0.31,9.81,9.12,4.67,5.52
446,1.51,1.4,9.62,3.74,82.95,0.3,9.75,8.95,4.45,5.36
447,1.37,1.28,8.91,3.5,81.89,0.28,9.7,8.78,4.23,5.21
448,1.23,1.16,8.18,3.26,80.63,0.27,9.64,8.6,4.02,5.05
449,1.09,1.03,7.42,3.02,79.16,0.26,9.56,8.43,3.8,4.87
450,0.95,0.9,6.56,2.78,77.68,0.24,9.49,8.28,3.59,4.72
451,2.31,2.04,13.0,5.44,12.84,0.54,9.73,6.21,3.36,7.45
452,2.47,2.16,13.57,5.68,14.95,0.56,9.77,6.21,3.57,7.62
453,2.63,2.28,14.1,5.92,16.84,0.58,9.81,6.19,3.78,7.8
454,2.78,2.39,14.56,6.16,18.95,0.59,9.83,6.17,3.98,7.98
455,2.93,2.5,15.0,6.4,21.05,0.61,9.85,6.14,4.19,8.15
456,3.08,2.61,15.42,6.64,23.16,0.62,9.86,6.1,4.41,8.31
457,3.24,2.72,15.82,6.88,25.26,0.64,9.87,6.07,4.63,8.47
458,3.38,2.81,16.16,7.12,27.37,0.64,9.86,6.02,4.85,8.61
459,3.52,2.9,16.48,7.36,29.47,0.64,9.85,5.97,5.05,8.74
460,3.67,3.0,16.79,7.6,31.37,0.64,9.83,5.9,5.28,8.86
461,3.82,3.09,17.09,7.82,33.47,0.64,9.81,5.83,5.51,8.94
462,3.95,3.17,17.33,8.06,35.58,0.62,9.77,5.76,5.72,9.0
463,4.09,3.25,17.56,8.3,37.68,0.61,9.73,5.67,5.96,9.02
464,4.2,3.32,17.74,8.54,39.79,0.59,9.68,5.59,6.2,9.0
465,4.3,3.37,17.88,8.78,41.68,0.58,9.63,5.67,6.42,8.94
466,4.39,3.43,18.02,9.02,43.79,0.6,9.56,5.84,6.64,8.86
467,4.46,3.47,18.12,9.23,45.89,0.62,9.49,6.02,6.89,8.74
468,4.51,3.49,18.19,9.47,48.0,0.65,9.42,6.19,7.12,8.61
469,4.56,3.52,18.25,9.66,49.89,0.68,9.33,6.36,7.33,8.47
470,4.56,3.52,18.25,9.76,52.0,0.7,9.23,6.53,7.57,8.31
471,4.56,3.52,18.25,9.66,54.11,0.72,9.14,6.71,7.79,8.15
472,4.56,3.52,18.25,9.47,56.0,0.74,9.02,6.88,7.98,7.98
473,4.56,3.52,18.25,9.23,58.11,0.75,9.07,7.05,8.18,7.8
474,4.51,3.49,18.19,9.02,60.0,0.74,9.16,7.22,8.33,7.62
475,4.46,3.47,18.12,8.78,62.11,0.72,9.25,7.4,8.45,7.45
476,4.39,3.43,18.02,8.54,64.0,0.7,9.32,7.57,8.48,7.45
477,4.3,3.37,17.88,8.3,65.89,0.68,9.4,7.72,8.45,7.45
478,4.2,3.32,17.74,8.06,68.0,0.65,9.46,7.9,8.33,7.45
479,4.09,3.25,17.56,7.82,69.89,0.62,9.53,8.07,8.18,7.41
480,3.95,3.17,17.33,7.6,71.79,0.6,9.6,8.24,7.98,7.39
481,3.82,3.09,17.09,7.36,73.68,0.58,9.67,8.41,7.79,7.33
482,3.67,3.0,16.79,7.12,75.37,0.55,9.72,8.59,7.57,7.27
483,3.52,2.9,16.48,6.88,77.26,0.53,9.77,8.74,7.33,7.19
484,3.38,2.81,16.16,6.64,78.95,0.51,9.81,8.91,7.12,7.09
485,3.24,2.72,15.82,6.4,80.63,0.49,9.85,9.07,6.89,6.99
486,3.08,2.61,15.42,6.16,82.11,0.47,9.87,9.22,6.64,6.9
487,2.93,2.5,15.0,5.92,83.58,0.45,9.89,9.38,6.42,6.78
488,2.78,2.39,14.56,5.68,84.84,0.43,9.9,9.52,6.2,6.66
489,2.63,2.28,14.1,5.44,85.89,0.41,9.91,9.62,5.96,6.52
490,2.47,2.16,13.57,5.2,86.74,0.4,9.9,9.66,5.72,6.39
491,2.31,2.04,13.0,4.96,87.16,0.38,9.89,9.62,5.51,6.25
492,2.17,1.94,12.49,4.72,87.37,0.36,9.87,9.52,5.28,6.11
493,2.02,1.81,11.88,4.48,87.16,0.35,9.85,9.38,5.05,5.95
494,1.87,1.69,11.25,4.24,86.74,0.33,9.81,9.22,4.85,5.8
495,1.72,1.57,10.6,4.0,85.89,0.32,9.77,9.07,4.63,5.64
496,1.58,1.45,9.93,3.76,84.84,0.3,9.72,8.91,4.41,5.48
497,1.43,1.33,9.23,3.53,83.58,0.29,9.67,8.74,4.19,5.3
498,1.29,1.21,8.51,3.29,82.11,0.27,9.6,8.59,3.98,5.15
499,1.14,1.08,7.68,3.05,80.63,0.26,9.53,8.41,3.78,4.97
500,1.0,0.95,6.91,2.81,78.95,0.24,9.45,8.24,3.57,4.81
501,2.4,2.11,13.32,5.44,13.68,0.56,9.77,6.38,3.32,7.37
502,2.56,2.23,13.87,5.68,15.37,0.57,9.81,6.38,3.53,7.54
503,2.72,2.35,14.39,5.92,17.26,0.59,9.85,6.36,3.74,7.7
504,2.87,2.46,14.84,6.16,19.37,0.61,9.87,6.34,3.93,7.88
505,3.04,2.58,15.32,6.4,21.47,0.63,9.89,6.31,4.15,8.04
506,3.2,2.69,15.72,6.64,23.58,0.65,9.9,6.28,4.37,8.19
507,3.36,2.8,16.11,6.88,25.47,0.66,9.91,6.24,4.59,8.33
508,3.52,2.9,16.48,7.12,27.58,0.67,9.9,6.19,4.79,8.47
509,3.67,3.0,16.79,7.36,29.68,0.68,9.89,6.12,5.01,8.59
510,3.84,3.1,17.13,7.6,31.79,0.67,9.87,6.07,5.21,8.68
511,3.98,3.19,17.37,7.84,33.89,0.66,9.85,5.98,5.44,8.76
512,4.13,3.28,17.63,8.08,36.0,0.65,9.81,5.91,5.65,8.8
513,4.27,3.36,17.85,8.32,38.11,0.63,9.77,5.83,5.89,8.82
514,4.39,3.43,18.02,8.56,40.21,0.61,9.72,5.74,6.1,8.8
515,4.51,3.49,18.19,8.8,42.11,0.59,9.67,5.66,6.32,8.76
516,4.61,3.55,18.31,9.04,44.21,0.61,9.6,5.83,6.54,8.68
517,4.71,3.6,18.44,9.28,46.32,0.64,9.53,6.0,6.76,8.59
518,4.76,3.63,18.5,9.52,48.42,0.66,9.45,6.17,6.99,8.47
519,4.82,3.66,18.55,9.76,50.53,0.69,9.37,6.34,7.2,8.33
520,4.82,3.66,18.55,10.0,52.42,0.72,9.28,6.52,7.41,8.19
521,4.82,3.66,18.55,9.76,54.53,0.76,9.17,6.69,7.6,8.04
522,4.82,3.66,18.55,9.52,56.63,0.78,9.07,6.86,7.79,7.88
523,4.82,3.66,18.55,9.28,58.74,0.79,9.12,7.02,7.96,7.7
524,4.76,3.63,18.5,9.04,60.63,0.78,9.22,7.19,8.07,7.56
525,4.71,3.6,18.44,8.8,62.74,0.76,9.31,7.36,8.16,7.6
526,4.61,3.55,18.31,8.56,64.63,0.72,9.39,7.53,8.18,7.64
527,4.51,3.49,18.19,8.32,66.74,0.69,9.46,7.71,8.16,7.64
528,4.39,3.43,18.02,8.08,68.63,0.66,9.52,7.86,8.07,7.64
529,4.27,3.36,17.85,7.84,70.74,0.64,9.58,8.03,7.96,7.6
530,4.13,3.28,17.63,7.6,72.63,0.61,9.63,8.21,7.79,7.56
531,3.98,3.19,17.37,7.36,74.53,0.58,9.67,8.36,7.6,7.52
532,3.84,3.1,17.13,7.12,76.42,0.56,9.7,8.53,7.41,7.45
533,3.67,3.0,16.79,6.88,78.32,0.54,9.73,8.69,7.2,7.37
534,3.52,2.9,16.48,6.64,80.21,0.51,9.77,8.84,6.99,7.27
535,3.36,2.8,16.11,6.4,81.89,0.49,9.81,9.0,6.76,7.17
536,3.2,2.69,15.72,6.16,83.58,0.47,9.83,9.14,6.54,7.05
537,3.04,2.58,15.32,5.92,85.05,0.46,9.85,9.28,6.32,6.94
538,2.87,2.46,14.84,5.68,86.53,0.44,9.86,9.38,6.1,6.8
539,2.72,2.35,14.39,5.44,87.79,0.42,9.87,9.45,5.89,6.66
540,2.56,2.23,13.87,5.2,88.63,0.4,9.86,9.48,5.65,6.52
541,2.4,2.11,13.32,4.96,89.26,0.38,9.85,9.45,5.44,6.39
542,2.24,1.99,12.75,4.72,89.47,0.37,9.83,9.38,5.21,6.23
543,2.09,1.87,12.15,4.48,89.26,0.35,9.81,9.28,5.01,6.07
544,1.93,1.75,11.54,4.24,88.63,0.33,9.77,9.14,4.79,5.91
545,1.79,1.63,10.89,4.0,87.79,0.32,9.73,9.0,4.59,5.76
546,1.64,1.51,10.23,3.76,86.53,0.3,9.68,8.84,4.37,5.58
547,1.5,1.38,9.54,3.53,85.05,0.29,9.63,8.69,4.15,5.42
548,1.34,1.25,8.75,3.29,83.58,0.27,9.56,8.53,3.93,5.25
549,1.2,1.13,8.01,3.05,81.89,0.26,9.49,8.36,3.74,5.07
550,1.06,1.01,7.25,2.81,80.21,0.24,9.42,8.21,3.53,4.91
551,2.49,2.18,13.63,5.44,14.74,0.57,9.81,6.55,3.27,7.27
552,2.65,2.3,14.16,5.68,16.42,0.59,9.85,6.55,3.49,7.45
553,2.82,2.42,14.67,5.92,18.32,0.61,9.88,6.53,3.68,7.6
554,2.97,2.53,15.11,6.16,20.0,0.63,9.91,6.52,3.89,7.76
555,3.14,2.65,15.57,6.4,21.68,0.65,9.92,6.48,4.1,7.92
556,3.32,2.77,16.02,6.64,23.79,0.68,9.94,6.45,4.3,8.06
557,3.48,2.88,16.39,6.88,25.89,0.69,9.94,6.4,4.52,8.19
558,3.65,2.98,16.75,7.12,28.0,0.71,9.94,6.34,4.72,8.31
559,3.82,3.09,17.09,7.36,30.11,0.71,9.92,6.29,4.94,8.41
560,3.98,3.19,17.37,7.6,32.21,0.71,9.91,6.22,5.15,8.51
561,4.16,3.29,17.67,7.82,34.11,0.69,9.88,6.14,5.35,8.57
562,4.32,3.39,17.92,8.06,36.21,0.68,9.85,6.07,5.58,8.61
563,4.46,3.47,18.12,8.3,38.32,0.65,9.81,5.98,5.79,8.62
564,4.61,3.55,18.31,8.54,40.42,0.63,9.75,5.88,6.01,8.61
565,4.74,3.62,18.47,8.78,42.53,0.61,9.7,5.79,6.22,8.57
566,4.87,3.68,18.61,9.02,44.63,0.61,9.64,5.81,6.42,8.51
567,4.95,3.72,18.7,9.23,46.74,0.64,9.56,5.98,6.64,8.41
568,5.03,3.76,18.78,9.47,48.84,0.67,9.49,6.14,6.84,8.31
569,5.05,3.78,18.8,9.66,50.95,0.71,9.41,6.31,7.04,8.19
570,5.08,3.79,18.83,9.76,52.84,0.74,9.31,6.48,7.22,8.06
571,5.08,3.79,18.83,9.66,54.95,0.78,9.2,6.66,7.41,7.92
572,5.08,3.79,18.83,9.47,57.05,0.83,9.1,6.83,7.57,7.76
573,5.05,3.78,18.8,9.23,59.16,0.85,9.18,6.98,7.71,7.7
574,5.03,3.76,18.78,9.02,61.26,0.83,9.28,7.16,7.82,7.76
575,4.95,3.72,18.7,8.78,63.16,0.78,9.37,7.33,7.87,7.8
576,4.87,3.68,18.61,8.54,65.26,0.74,9.44,7.48,7.9,7.84
577,4.74,3.62,18.47,8.3,67.37,0.71,9.51,7.66,7.87,7.84
578,4.61,3.55,18.31,8.06,69.26,0.67,9.58,7.83,7.82,7.84
579,4.46,3.47,18.12,7.82,71.37,0.64,9.63,7.98,7.71,7.8
580,4.32,3.39,17.92,7.6,73.47,0.61,9.68,8.14,7.57,7.76
581,4.16,3.29,17.67,7.36,75.37,0.59,9.72,8.31,7.41,7.7
582,3.98,3.19,17.37,7.12,77.26,0.56,9.75,8.47,7.22,7.62
583,3.82,3.09,17.09,6.88,79.37,0.54,9.78,8.6,7.04,7.54
584,3.65,2.98,16.75,6.64,81.26,0.52,9.8,8.76,6.84,7.45
585,3.48,2.88,16.39,6.4,82.95,0.5,9.81,8.9,6.64,7.33
586,3.32,2.77,16.02,6.16,84.84,0.48,9.82,9.02,6.42,7.21
587,3.14,2.65,15.57,5.92,86.53,0.46,9.81,9.14,6.22,7.07
588,2.97,2.53,15.11,5.68,88.0,0.44,9.81,9.22,6.01,6.94
589,2.82,2.42,14.67,5.44,89.47,0.42,9.82,9.29,5.79,6.8
590,2.65,2.3,14.16,5.2,90.53,0.4,9.81,9.31,5.58,6.66
591,2.49,2.18,13.63,4.96,91.37,0.38,9.8,9.29,5.35,6.5
592,2.33,2.06,13.07,4.72,91.58,0.37,9.78,9.22,5.15,6.35
593,2.17,1.94,12.49,4.48,91.37,0.35,9.75,9.14,4.94,6.19
594,2.0,1.8,11.81,4.24,90.53,0.34,9.72,9.02,4.72,6.03
595,1.85,1.68,11.18,4.0,89.47,0.32,9.68,8.9,4.52,5.85
596,1.7,1.56,10.53,3.76,88.0,0.3,9.63,8.76,4.3,5.68
597,1.54,1.42,9.77,3.53,86.53,0.29,9.58,8.6,4.1,5.52
598,1.4,1.3,9.07,3.29,84.84,0.27,9.51,8.47,3.89,5.34
599,1.25,1.17,8.26,3.05,82.95,0.26,9.44,8.31,3.68,5.17
600,1.11,1.05,7.51,2.81,81.26,0.25,9.37,8.14,3.49,4.99
601,2.56,2.23,13.87,5.42,15.79,0.58,9.83,6.72,3.21,7.17
602,2.72,2.35,14.39,5.66,17.68,0.6,9.87,6.72,3.42,7.33
603,2.89,2.47,14.89,5.9,19.37,0.62,9.91,6.71,3.63,7.49
604,3.06,2.59,15.37,6.14,21.26,0.65,9.93,6.69,3.82,7.64
605,3.24,2.72,15.82,6.38,22.95,0.68,9.95,6.66,4.04,7.78
606,3.42,2.84,16.25,6.62,24.63,0.7,9.96,6.62,4.23,7.92
607,3.59,2.94,16.62,6.83,26.32,0.72,9.97,6.57,4.45,8.04
608,3.78,3.06,17.0,7.07,28.21,0.74,9.96,6.52,4.65,8.15
609,3.95,3.17,17.33,7.31,30.32,0.75,9.95,6.45,4.85,8.25
610,4.13,3.28,17.63,7.55,32.42,0.74,9.93,6.38,5.05,8.33
611,4.32,3.39,17.92,7.79,34.53,0.72,9.91,6.29,5.26,8.39
612,4.49,3.48,18.15,8.03,36.63,0.7,9.87,6.21,5.47,8.41
613,4.66,3.58,18.38,8.25,38.53,0.68,9.83,6.12,5.68,8.43
614,4.82,3.66,18.55,8.49,40.63,0.65,9.78,6.03,5.89,8.41
615,4.97,3.74,18.72,8.71,42.74,0.62,9.73,5.93,6.1,8.39
616,5.11,3.8,18.86,8.92,44.84,0.62,9.66,5.83,6.29,8.33
617,5.22,3.86,18.96,9.14,46.95,0.64,9.6,5.95,6.49,8.25
618,5.31,3.9,19.03,9.33,49.05,0.68,9.51,6.1,6.69,8.15
619,5.33,3.91,19.05,9.47,51.16,0.71,9.42,6.28,6.86,8.04
620,5.36,3.92,19.08,9.52,53.26,0.75,9.34,6.45,7.04,7.92
621,5.36,3.92,19.08,9.47,55.37,0.79,9.23,6.62,7.2,7.78
622,5.36,3.92,19.08,9.33,57.47,0.85,9.14,6.78,7.33,7.8
623,5.33,3.91,19.05,9.14,59.58,1.0,9.23,6.95,7.46,7.88
624,5.31,3.9,19.03,8.92,61.68,0.85,9.33,7.1,7.54,7.96
625,5.22,3.86,18.96,8.71,63.58,0.79,9.42,7.28,7.6,8.0
626,5.11,3.8,18.86,8.49,65.68,0.75,9.49,7.43,7.62,8.04
627,4.97,3.74,18.72,8.25,67.79,0.71,9.56,7.6,7.6,8.04
628,4.82,3.66,18.55,8.03,69.89,0.68,9.63,7.76,7.54,8.04
629,4.66,3.58,18.38,7.79,72.0,0.64,9.68,7.91,7.46,8.0
630,4.49,3.48,18.15,7.55,73.89,0.62,9.73,8.07,7.33,7.96
631,4.32,3.39,17.92,7.31,76.0,0.59,9.77,8.22,7.2,7.88
632,4.13,3.28,17.63,7.07,78.11,0.56,9.81,8.38,7.04,7.8
633,3.95,3.17,17.33,6.83,80.0,0.54,9.83,8.52,6.86,7.7
634,3.78,3.06,17.0,6.62,82.11,0.52,9.85,8.66,6.69,7.6
635,3.59,2.94,16.62,6.38,84.0,0.5,9.86,8.78,6.49,7.49
636,3.42,2.84,16.25,6.14,85.89,0.48,9.87,8.9,6.29,7.35
637,3.24,2.72,15.82,5.9,87.79,0.46,9.86,9.0,6.1,7.23
638,3.06,2.59,15.37,5.66,89.47,0.44,9.85,9.07,5.89,7.07
639,2.89,2.47,14.89,5.42,91.16,0.42,9.83,9.12,5.68,6.94
640,2.72,2.35,14.39,5.18,92.42,0.4,9.81,9.14,5.47,6.78
641,2.56,2.23,13.87,4.94,93.26,0.38,9.77,9.12,5.26,6.62
642,2.4,2.11,13.32,4.7,93.68,0.37,9.73,9.07,5.05,6.46
643,2.22,1.98,12.68,4.46,93.26,0.35,9.7,9.0,4.85,6.29
644,2.07,1.85,12.09,4.22,92.42,0.34,9.67,8.9,4.65,6.13
645,1.9,1.72,11.4,3.98,91.16,0.32,9.63,8.78,4.45,5.95
646,1.75,1.6,10.75,3.74,89.47,0.3,9.58,8.66,4.23,5.78
647,1.61,1.48,10.08,3.5,87.79,0.29,9.52,8.52,4.04,5.6
648,1.45,1.34,9.31,3.26,85.89,0.27,9.46,8.38,3.82,5.42
649,1.29,1.21,8.51,3.02,84.0,0.26,9.39,8.22,3.63,5.25
650,1.16,1.09,7.76,2.78,82.11,0.25,9.31,8.07,3.46,5.07
651,2.63,2.28,14.1,5.4,17.05,0.58,9.85,6.9,3.17,7.05
652,2.8,2.41,14.62,5.64,18.74,0.61,9.89,6.9,3.36,7.21
653,2.97,2.53,15.11,5.85,20.63,0.64,9.92,6.88,3.55,7.35
654,3.14,2.65,15.57,6.09,22.32,0.66,9.95,6.86,3.76,7.5
655,3.32,2.77,16.02,6.33,24.0,0.69,9.97,6.83,3.95,7.64
656,3.5,2.89,16.44,6.57,25.89,0.72,9.98,6.78,4.17,7.76
657,3.69,3.01,16.83,6.81,27.58,0.76,9.99,6.72,4.37,7.88
658,3.89,3.13,17.21,7.03,29.26,0.78,9.98,6.67,4.56,7.98
659,4.09,3.25,17.56,7.27,30.95,0.79,9.97,6.6,4.76,8.07
660,4.27,3.36,17.85,7.51,32.63,0.78,9.95,6.53,4.96,8.13
661,4.46,3.47,18.12,7.72,34.53,0.76,9.92,6.45,5.17,8.19
