id,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10
332,3.24,2.6,18.38,7.51,60.88,0.6,10.56,8.87,8.83,6.66
333,3.24,3.09,15.17,6.38,83.23,0.48,9.32,7.72,7.59,5.88
334,4.57,2.15,17.24,4.9,85.56,0.61,8.3,10.45,7.56,6.57
335,0.53,3.4,19.35,4.34,93.9,0.4,9.25,8.12,4.73,7.36
336,2.08,3.14,13.91,6.08,71.35,0.42,11.2,7.8,5.7,7.51
337,3.97,2.09,10.38,4.47,75.58,0.43,10.28,7.63,7.32,7.5
338,2.47,2.31,15.26,5.35,68.22,0.37,9.72,10.33,7.1,6.11
339,2.64,1.1,11.89,5.3,80.52,0.47,9.24,10.48,5.99,6.01
340,3.31,2.17,11.29,4.54,89.7,0.4,9.28,9.62,5.43,6.65
341,3.3,0.88,11.27,5.59,92.63,0.24,8.77,10.97,4.71,5.86
342,0.97,1.28,12.6,5.06,98.16,0.26,10.35,8.77,3.23,7.73
343,1.52,2.44,10.09,4.33,75.5,0.33,10.44,9.72,4.84,5.24
344,1.5,1.86,9.56,4.97,78.32,0.35,9.56,10.71,5.42,3.52
345,0.08,1.87,8.34,3.06,98.1,0.29,8.8,8.1,4.91,4.29
346,1.13,1.58,8.65,3.15,81.37,0.35,10.47,8.15,4.41,4.53
347,0.47,0.14,7.71,3.07,79.04,0.2,10.98,9.56,4.44,3.32
348,1.36,0.05,6.37,2.71,100.0,0.26,10.11,8.35,4.26,5.15
349,0.0,1.1,6.49,1.9,86.23,0.21,10.85,7.92,1.81,3.71
350,2.38,0.52,5.87,1.97,71.11,0.31,9.74,10.1,4.13,3.72
351,3.25,1.44,14.1,6.05,12.67,0.37,8.89,7.07,1.89,6.26
352,2.16,2.11,16.75,6.45,10.45,0.67,10.7,6.63,2.66,7.79
353,2.15,1.48,13.98,4.79,21.96,0.46,10.34,7.01,4.31,8.22
354,2.3,3.31,15.77,5.07,13.31,0.64,11.49,5.5,4.98,8.64
355,2.19,2.42,16.32,7.69,14.12,0.71,10.03,7.15,6.65,11.22
356,2.42,2.36,16.24,5.69,25.83,0.57,7.12,6.57,3.71,9.83
357,1.69,2.48,13.2,6.91,15.31,0.55,10.35,4.86,4.34,8.51
358,1.51,1.77,14.02,6.76,33.56,0.73,9.05,6.65,2.51,7.16
359,3.85,2.33,10.42,6.56,32.17,0.67,8.31,4.77,6.78,10.28
360,4.42,2.7,13.65,6.51,31.43,0.73,11.66,4.86,5.95,10.33
361,4.01,1.57,18.82,7.64,41.53,0.6,10.0,5.77,5.71,10.41
362,3.91,3.74,16.0,7.03,30.13,0.61,10.02,2.78,4.78,9.47
363,4.08,2.83,19.2,9.22,46.69,0.57,9.23,4.07,6.59,9.54
364,4.52,2.51,17.24,8.06,54.42,0.55,10.4,5.28,6.91,9.38
365,4.82,3.26,14.69,7.94,19.49,0.48,8.82,5.06,6.8,9.61
366,3.38,3.12,16.93,8.73,42.44,0.68,9.19,6.97,5.93,8.43
367,3.76,3.53,16.07,7.68,59.72,0.61,10.51,4.88,6.33,9.0
368,4.65,3.72,17.31,8.37,45.96,0.46,11.68,6.16,6.56,9.06
369,4.36,3.69,16.08,8.72,43.86,0.5,9.55,7.45,7.81,8.81
370,4.38,3.32,19.61,10.01,47.21,0.69,9.19,7.48,8.24,8.95
371,2.14,4.17,17.42,8.1,42.67,0.81,8.33,3.41,7.15,8.64
372,3.23,3.34,14.68,7.2,67.3,0.61,9.73,5.42,8.33,8.95
373,1.95,3.26,21.67,10.41,55.48,0.71,9.16,5.45,8.52,8.9
374,3.49,3.19,18.6,9.43,56.32,0.66,9.22,7.89,8.65,8.32
375,4.7,3.96,18.2,7.69,66.04,0.62,9.62,7.82,9.56,8.56
376,5.56,2.54,21.27,9.22,59.04,0.5,9.47,7.51,8.49,8.49
377,6.07,3.65,15.97,6.85,70.39,0.52,8.0,8.18,8.53,7.12
378,4.1,2.34,16.39,8.29,68.84,0.62,10.6,9.01,8.04,8.34
379,3.42,3.09,16.13,6.55,80.54,0.59,10.39,7.41,6.1,6.75
380,5.23,3.21,16.38,6.84,67.11,0.54,10.0,8.24,6.77,8.28
381,4.4,3.7,14.36,7.45,45.74,0.47,9.9,9.59,7.41,7.2
382,2.21,2.09,17.25,6.98,69.87,0.45,9.7,8.2,6.94,7.12
383,3.15,2.08,12.53,6.87,68.18,0.43,10.33,9.04,7.24,8.06
384,1.59,2.04,18.41,4.81,76.34,0.53,10.9,9.35,6.91,7.93
385,2.08,3.05,13.82,6.0,82.04,0.5,10.38,10.34,6.44,8.28
386,1.08,2.82,16.97,7.95,82.94,0.54,9.39,10.3,9.18,6.92
387,3.27,3.31,20.34,4.6,66.92,0.46,10.33,8.55,6.77,7.64
388,1.11,1.36,10.77,4.01,82.22,0.41,10.25,10.72,5.91,7.9
389,1.08,2.8,10.54,3.52,80.21,0.49,9.8,9.18,5.83,7.35
390,2.44,1.5,13.61,3.55,61.23,0.5,10.37,10.9,7.01,7.49
391,1.64,1.77,12.92,5.3,86.54,0.35,9.28,9.81,5.79,4.84
392,1.32,2.83,9.88,5.02,81.85,0.27,8.84,9.99,3.24,4.67
393,1.52,1.86,9.54,4.75,92.33,0.31,9.86,7.66,3.96,5.43
394,0.9,1.77,12.48,4.47,71.69,0.15,10.67,8.98,6.42,6.43
395,0.25,2.1,5.85,5.12,77.9,0.32,9.44,10.68,5.9,5.99
396,3.02,0.46,6.48,3.22,85.19,0.18,9.7,8.31,4.94,5.78
397,1.76,1.24,8.44,5.34,97.84,0.31,8.55,10.41,4.58,6.97
398,0.92,2.4,11.89,2.62,80.89,0.36,11.41,7.94,4.65,2.96
399,2.68,1.68,4.06,1.4,73.28,0.31,10.12,8.5,4.41,2.75
400,0.02,0.86,5.55,1.6,86.33,0.22,8.96,7.39,2.84,3.55
401,3.64,2.41,11.74,5.36,19.55,0.57,8.54,5.26,4.06,6.6
402,2.1,1.93,13.19,6.64,4.09,0.51,10.25,5.88,3.99,8.5
403,0.0,2.65,12.88,6.56,2.71,0.55,8.42,5.57,4.58,7.26
404,2.17,1.93,16.07,6.03,18.37,0.56,9.3,6.74,4.34,9.23
405,2.55,1.7,11.03,6.58,32.88,0.65,8.82,5.07,2.52,8.02
406,3.15,2.54,15.28,7.7,12.75,0.85,8.75,4.46,3.62,6.77
407,3.94,2.81,18.84,6.85,21.01,0.53,8.6,6.6,6.78,8.74
408,3.69,2.81,14.86,6.79,40.7,0.6,9.26,4.13,5.44,9.87
409,2.86,3.22,18.43,8.27,31.66,0.45,9.32,4.61,4.71,10.19
410,1.67,2.61,16.24,7.06,28.04,0.56,9.23,5.44,6.77,7.83
411,3.62,2.96,16.33,8.27,28.08,0.62,9.27,5.7,5.35,10.58
412,2.51,2.83,18.0,8.16,24.38,0.47,9.16,5.64,5.09,8.11
413,4.06,2.26,16.96,7.52,49.47,0.5,9.84,4.59,6.46,9.48
414,6.13,3.76,18.34,8.03,43.92,0.62,9.42,3.75,6.07,9.76
415,4.43,2.39,18.4,8.71,22.4,0.58,8.94,7.13,5.87,10.31
416,4.93,1.83,16.17,9.0,48.33,0.71,7.47,4.09,7.63,7.47
417,3.75,3.08,20.43,9.7,37.34,0.6,7.91,4.86,6.16,8.03
418,4.09,3.96,20.52,9.78,55.21,0.74,7.76,7.9,8.69,9.15
419,4.26,4.01,18.77,9.57,41.94,0.8,9.94,7.68,7.77,7.26
420,4.4,3.35,16.8,11.12,53.33,0.66,9.84,6.65,7.42,9.22
421,4.07,3.97,18.5,10.15,52.7,0.7,9.36,6.5,7.72,6.16
422,6.05,3.46,21.03,8.9,54.96,0.74,7.79,6.59,9.84,7.11
423,4.89,3.01,23.25,8.69,65.45,0.7,8.28,6.25,8.89,8.97
424,5.13,3.73,15.9,7.73,60.06,0.76,8.59,6.17,8.07,8.5
425,3.99,3.28,19.0,9.26,51.37,0.73,11.01,7.41,8.23,8.66
426,3.66,3.9,16.28,9.73,58.22,0.71,9.08,7.43,9.04,8.58
427,4.72,4.01,18.68,9.7,73.04,0.78,10.54,8.82,10.99,6.99
428,4.58,3.3,20.14,8.22,61.81,0.64,10.47,8.62,8.1,8.59
429,2.93,4.03,14.83,8.12,63.29,0.54,10.11,8.67,8.47,6.75
430,3.37,3.06,18.33,8.09,94.36,0.52,8.57,6.83,7.21,7.19
431,4.92,3.4,18.71,7.02,75.01,0.58,9.47,7.87,8.22,7.86
432,2.69,2.13,16.69,8.59,72.07,0.46,11.04,8.91,9.37,7.13
433,3.44,3.06,20.56,7.9,83.27,0.38,11.24,8.4,7.52,7.2
434,5.84,2.24,15.19,4.31,89.2,0.46,11.49,9.28,9.66,8.19
435,2.35,2.3,15.62,6.03,88.91,0.61,9.36,10.06,6.01,7.58
436,3.49,1.87,15.42,6.62,71.21,0.56,9.17,10.34,7.44,6.81
437,3.05,2.5,15.79,6.32,73.03,0.78,9.79,10.84,6.4,8.46
438,1.3,3.24,14.87,5.78,91.21,0.44,10.26,10.52,5.3,5.58
439,3.44,2.6,15.59,5.48,66.43,0.54,9.25,10.61,3.73,5.72
440,3.02,1.84,12.97,5.09,96.63,0.31,11.33,11.07,5.89,5.95
441,1.01,1.86,8.28,4.97,74.92,0.45,9.37,10.38,5.25,5.26
442,0.65,1.57,10.75,4.69,83.68,0.59,8.12,10.22,5.46,8.2
443,1.17,1.39,10.98,5.02,91.17,0.25,9.71,9.17,6.84,5.73
444,2.01,1.61,10.11,3.55,85.32,0.42,10.87,9.95,3.98,6.88
445,1.48,1.7,8.96,3.78,76.4,0.23,9.85,9.21,2.78,7.21
446,0.84,1.31,10.21,3.1,77.9,0.39,9.18,8.73,5.57,6.95
447,2.5,2.06,4.52,3.39,89.19,0.16,9.99,9.81,4.95,6.08
448,3.87,0.38,5.77,2.92,75.55,0.14,8.92,7.71,2.86,3.92
449,0.0,0.23,9.35,2.83,66.47,0.27,8.37,7.91,3.41,6.33
450,1.65,0.57,10.74,2.83,89.74,0.23,9.43,7.46,5.0,5.83
451,2.89,2.23,12.32,4.53,22.52,0.64,8.87,6.29,2.46,7.18
452,2.7,2.27,13.88,4.01,22.95,0.69,9.0,8.7,2.99,8.2
453,2.86,1.75,16.99,5.81,26.73,0.47,10.68,6.32,4.93,7.51
454,3.55,2.66,17.69,4.36,0.0,0.49,11.61,4.92,4.1,7.28
455,3.19,2.4,13.42,6.97,21.25,0.51,11.54,7.55,4.14,9.37
456,3.24,2.1,18.45,6.31,35.71,0.43,8.75,7.59,4.65,6.41
457,2.54,3.2,17.16,5.82,21.93,0.73,10.35,5.88,5.82,8.37
458,3.13,2.75,19.22,7.91,24.61,0.75,10.6,4.37,4.22,9.02
459,2.56,3.4,17.27,7.66,20.17,0.54,9.25,7.04,3.89,9.67
460,2.82,3.1,13.36,7.6,41.37,0.65,9.38,5.58,5.76,8.43
461,4.18,2.58,17.92,7.67,29.55,0.58,10.34,5.33,5.47,9.91
462,5.25,3.43,20.39,6.54,26.48,0.54,10.04,4.2,4.46,8.77
463,4.03,4.14,16.27,10.45,28.32,0.68,9.43,5.13,5.77,9.67
464,5.49,3.07,15.12,8.69,51.4,0.58,11.19,6.06,6.18,9.25
465,4.22,3.25,16.39,9.13,42.9,0.58,10.5,6.31,4.81,6.86
466,5.72,3.1,15.33,11.23,19.28,0.64,9.83,7.25,7.55,9.46
467,6.89,3.8,18.82,9.66,46.85,0.67,9.46,4.73,6.73,8.47
468,4.8,3.26,18.82,10.24,50.55,0.67,10.29,5.45,6.41,8.02
469,4.18,3.39,16.79,10.54,47.9,0.52,9.39,7.24,6.38,8.8
470,4.1,3.7,18.94,9.01,57.58,0.78,9.75,7.32,6.1,8.73
471,3.57,2.51,17.12,9.02,60.9,0.66,9.79,6.42,8.18,7.42
472,3.26,3.36,19.83,11.42,50.16,0.71,9.91,8.03,8.81,6.93
473,5.35,4.42,17.66,8.01,70.97,0.78,8.69,5.67,7.39,6.08
474,5.06,4.16,17.55,8.65,75.41,0.75,8.53,6.68,8.65,7.73
475,3.8,3.82,20.12,9.97,51.49,0.6,9.29,7.92,9.35,7.88
476,3.15,2.8,21.38,8.28,78.5,0.7,8.61,9.86,9.14,8.07
477,5.4,3.13,18.53,8.53,71.55,0.6,10.83,8.53,5.83,9.66
478,3.61,3.8,20.54,5.5,76.35,0.56,10.14,8.83,8.29,6.74
479,2.89,2.72,17.85,10.07,57.37,0.65,9.12,9.24,7.12,7.99
480,2.94,3.45,16.75,5.92,67.21,0.42,10.26,7.56,7.55,8.86
481,6.28,2.44,17.53,7.31,68.11,0.64,9.27,9.67,7.7,7.75
482,5.43,3.43,17.29,6.66,76.6,0.63,10.05,9.09,7.99,7.6
483,2.49,3.93,15.7,5.51,83.27,0.49,9.33,8.26,8.17,7.84
484,1.71,2.17,17.63,5.45,77.04,0.59,9.59,8.8,6.43,8.46
485,1.86,2.59,17.19,6.8,70.33,0.4,10.9,9.86,8.81,9.09
486,5.1,2.49,12.32,5.2,82.65,0.47,10.19,11.09,6.88,5.31
487,2.28,2.18,15.52,5.83,70.69,0.49,10.25,9.26,6.11,6.93
488,3.79,2.71,14.27,4.34,93.41,0.55,9.54,9.6,6.95,5.39
489,2.71,1.81,13.48,5.17,88.99,0.43,11.95,9.94,4.98,7.31
490,3.12,1.71,11.64,4.48,92.91,0.3,9.61,9.37,6.59,5.02
491,1.8,2.39,12.6,5.8,99.98,0.31,9.29,8.88,5.56,6.16
492,0.83,1.76,11.9,4.98,75.78,0.32,9.65,9.08,4.76,6.87
493,3.58,2.05,12.53,3.77,84.22,0.18,9.21,9.74,4.96,5.19
494,2.69,1.27,11.93,5.41,87.71,0.31,9.73,7.97,3.96,7.91
495,0.0,2.1,10.41,4.48,87.71,0.24,10.83,9.71,3.53,6.54
496,2.2,1.31,10.98,4.94,83.89,0.46,9.0,10.48,4.36,4.24
497,1.26,1.66,11.73,3.47,72.06,0.1,9.64,8.39,4.09,4.82
498,1.81,1.36,9.3,2.34,68.81,0.35,10.36,7.9,2.81,5.31
499,0.05,1.35,7.3,1.25,90.42,0.34,9.5,8.56,4.6,2.29
500,1.11,1.44,10.27,2.28,87.3,0.19,9.96,7.06,3.75,3.3
501,3.34,2.0,17.55,6.11,16.93,0.47,10.88,5.27,2.65,8.17
502,1.43,1.46,13.97,5.0,21.11,0.6,8.26,6.38,4.77,7.12
503,1.8,3.15,15.1,7.29,16.97,0.51,8.81,6.89,2.21,6.68
504,1.98,2.97,18.07,5.92,31.1,0.64,9.08,8.46,3.38,8.36
505,1.89,2.03,17.35,6.44,23.12,0.58,9.79,5.59,5.1,8.24
506,2.46,2.52,15.62,6.42,37.17,0.73,9.68,5.26,4.17,7.36
507,4.32,3.17,14.9,5.4,19.13,0.6,10.51,6.26,5.03,6.61
508,4.9,2.12,17.41,7.8,33.31,0.7,10.45,6.13,5.01,7.6
509,4.0,3.46,15.36,7.64,24.04,0.73,8.5,6.12,5.14,9.97
510,3.45,2.92,18.38,8.66,36.53,0.56,8.83,7.76,4.27,8.84
511,2.36,2.52,17.97,7.95,37.7,0.61,9.41,6.77,5.3,10.05
512,3.57,3.17,17.44,10.14,48.96,0.65,10.8,7.38,6.15,9.05
513,3.22,3.4,17.37,7.99,54.12,0.68,11.59,7.37,6.14,8.88
514,5.51,4.5,17.55,9.82,43.72,0.62,8.93,4.19,7.41,7.16
515,5.91,2.93,19.93,10.24,32.3,0.63,10.38,6.56,7.91,8.23
516,5.26,4.01,21.82,8.85,37.95,0.73,10.99,5.15,7.06,8.44
517,4.62,4.08,17.32,8.15,41.47,0.76,9.21,5.94,6.37,10.2
518,3.68,3.76,17.15,8.88,49.49,0.62,10.24,3.4,7.01,9.92
519,4.53,4.53,17.36,8.18,39.88,0.85,8.72,7.49,6.45,10.46
520,5.25,4.39,21.86,10.84,49.21,0.73,11.09,7.49,9.63,10.12
521,4.79,3.78,20.36,10.43,41.63,0.71,9.0,5.94,9.57,9.98
522,5.32,2.78,21.9,9.86,46.08,0.84,8.48,7.42,7.94,9.93
523,4.33,4.19,18.89,8.14,59.39,0.85,9.29,7.04,7.9,8.15
524,3.75,4.13,18.09,9.47,45.58,0.88,10.85,8.51,9.87,5.19
525,4.22,3.17,20.15,6.23,58.24,0.66,7.8,7.67,9.07,7.41
526,3.91,2.98,17.97,5.42,77.4,0.62,10.32,7.93,8.6,8.21
527,5.08,3.15,15.09,8.05,65.13,0.6,6.92,7.79,7.0,7.72
528,5.25,3.07,15.64,7.24,71.7,0.76,10.3,8.31,8.12,6.88
529,5.7,3.58,19.1,6.87,84.54,0.76,9.9,7.86,5.47,8.41
530,3.81,4.12,14.61,7.97,81.74,0.54,10.0,8.9,7.84,5.87
531,3.24,3.76,16.98,8.98,92.44,0.63,9.32,9.11,7.16,9.13
532,3.44,2.56,17.02,7.43,84.45,0.61,8.33,10.83,7.48,6.7
533,4.34,2.38,16.75,7.23,84.59,0.59,8.26,9.58,6.23,6.0
534,4.06,3.47,18.13,6.28,82.43,0.44,8.96,8.91,6.1,9.24
535,0.17,2.21,19.65,5.65,95.89,0.41,9.22,7.88,7.07,6.39
536,3.77,1.82,14.02,4.92,80.88,0.5,10.05,8.68,6.86,7.09
537,1.95,2.11,13.58,4.75,84.85,0.45,8.85,9.2,7.2,7.12
538,2.72,1.57,15.34,5.4,89.07,0.5,9.62,8.58,6.56,8.54
539,2.97,1.58,12.16,4.72,87.74,0.39,9.31,9.69,4.72,6.12
540,4.12,2.36,11.33,7.35,99.85,0.14,9.62,8.73,5.7,6.6
541,3.05,3.16,12.21,5.08,84.56,0.5,9.7,8.75,6.64,6.77
542,0.77,3.16,11.2,5.73,104.01,0.39,10.4,9.33,4.86,6.61
543,2.29,1.85,15.08,5.22,102.08,0.43,9.81,9.31,4.31,5.55
544,0.2,1.66,11.8,3.9,98.28,0.36,9.77,8.16,4.4,6.53
545,1.65,1.03,8.07,3.88,78.29,0.48,8.48,7.48,4.43,6.58
546,1.62,2.23,11.36,1.99,93.63,0.36,8.75,8.67,3.63,5.75
547,1.73,1.07,14.35,4.58,73.36,0.15,10.81,8.5,4.06,7.14
548,2.92,1.32,6.64,4.29,93.22,0.28,8.03,9.1,3.74,6.64
549,0.9,1.44,6.9,2.07,86.45,0.12,8.79,8.74,4.4,6.18
550,1.61,1.18,6.52,4.06,92.92,0.45,10.53,8.5,2.01,2.82
551,0.29,2.45,16.19,4.33,1.86,0.56,12.26,6.05,3.35,6.96
552,2.2,2.31,12.2,5.59,7.19,0.71,9.75,7.6,1.86,8.01
553,3.15,1.92,11.65,5.19,19.64,0.73,10.03,7.95,4.92,7.59
554,2.97,2.32,16.31,7.08,37.01,0.69,8.66,7.14,5.27,7.36
555,3.98,2.68,17.39,6.21,3.42,0.6,10.33,5.7,4.91,7.07
556,4.19,2.14,14.63,7.76,17.1,0.79,11.13,7.77,5.16,7.78
557,3.99,3.9,20.79,6.96,29.74,0.69,9.69,8.72,4.54,9.27
558,4.97,3.28,20.34,5.78,29.52,0.78,11.11,5.21,6.9,9.09
559,3.79,3.32,17.97,7.82,38.82,0.75,10.94,6.67,4.04,8.14
560,4.55,2.6,17.23,7.07,27.56,0.76,10.02,6.09,4.5,8.33
561,4.85,2.97,17.57,5.93,19.07,0.55,8.83,6.27,5.59,8.51
562,2.02,3.86,17.38,7.64,33.74,0.6,10.85,4.49,4.95,7.02
563,4.46,3.96,17.67,8.9,44.32,0.65,10.37,4.32,5.17,6.85
564,4.29,2.75,18.1,9.62,36.94,0.61,8.3,5.23,6.12,8.81
565,3.34,3.35,20.71,9.12,45.01,0.8,9.56,2.94,7.27,7.71
566,3.75,3.84,14.69,9.37,44.4,0.88,9.06,6.34,6.85,7.69
567,5.15,3.87,20.71,10.98,38.09,0.52,8.34,5.39,5.29,7.59
568,5.19,3.89,16.24,10.6,45.09,0.58,8.38,5.47,7.89,10.55
569,4.51,3.77,19.62,9.78,54.72,0.65,10.01,5.87,9.34,7.15
570,4.64,4.11,20.65,8.78,31.56,0.83,10.81,6.09,6.25,8.97
571,4.27,4.1,20.85,8.1,57.47,0.83,10.61,6.09,7.46,8.15
572,4.17,3.71,21.83,9.26,44.57,0.68,9.43,9.47,7.92,9.0
573,4.8,2.59,20.48,8.85,84.94,0.87,10.42,6.96,6.76,5.93
574,4.54,3.92,19.28,9.37,56.11,0.82,7.61,7.56,8.5,6.6
575,5.48,4.18,20.19,8.9,67.66,0.78,10.56,8.51,5.86,7.74
576,5.32,3.58,17.22,8.82,73.85,0.61,9.61,7.69,7.47,7.85
577,5.62,3.04,16.02,7.71,69.81,0.51,7.74,8.0,7.82,7.26
578,4.15,4.1,19.71,8.63,55.5,0.6,10.52,8.59,8.31,6.82
579,4.84,3.15,18.95,7.98,74.07,0.72,10.1,7.09,8.37,7.34
580,4.02,3.1,17.44,7.82,72.27,0.53,9.79,8.25,7.88,8.92
581,3.08,2.83,15.43,5.35,87.78,0.45,9.33,7.0,6.83,7.53
582,4.26,3.01,14.98,8.15,75.0,0.55,9.22,6.97,5.51,6.8
583,2.57,2.93,19.92,6.14,79.41,0.42,9.71,9.52,8.03,7.79
584,4.32,3.86,18.21,6.97,81.88,0.43,9.47,8.72,7.86,8.51
585,4.16,2.45,16.9,5.48,78.07,0.55,8.59,8.67,6.83,6.76
586,3.77,3.35,13.7,4.87,87.95,0.68,10.44,8.61,5.58,6.0
587,3.02,3.17,11.75,4.9,95.23,0.48,9.74,8.62,8.23,6.06
588,2.81,3.05,13.7,5.75,80.98,0.45,10.76,8.68,5.23,7.34
589,1.42,3.14,18.38,5.26,86.68,0.44,7.13,9.72,6.38,6.67
590,2.87,2.37,11.16,4.52,105.4,0.31,10.59,12.64,6.41,7.24
591,3.14,2.51,12.33,6.08,99.0,0.52,10.89,9.63,3.97,6.54
592,0.57,2.5,11.93,4.92,90.4,0.38,8.14,7.7,4.4,7.53
593,1.64,1.92,13.26,4.54,105.65,0.36,10.3,9.93,4.98,5.49
594,2.57,1.43,9.74,5.28,96.24,0.34,9.92,10.45,6.82,7.53
595,0.59,1.22,8.98,3.37,86.86,0.23,9.51,8.1,3.45,5.07
596,0.65,1.69,13.29,3.16,101.02,0.18,10.17,10.43,4.66,7.15
597,1.4,1.18,9.11,4.18,87.2,0.38,8.89,8.23,3.75,4.88
598,1.93,0.78,5.68,3.69,83.26,0.35,8.23,9.11,3.23,5.9
599,2.07,1.45,10.65,1.88,67.44,0.29,9.21,8.94,3.1,5.8
600,1.28,0.4,7.61,2.92,80.24,0.3,7.36,9.09,3.54,4.67
601,0.91,2.32,13.65,6.02,21.18,0.43,10.87,8.34,3.63,7.35
602,1.83,2.0,14.63,6.23,19.58,0.54,8.43,8.44,4.12,6.96
603,1.39,1.46,12.7,5.6,24.39,0.41,10.01,6.22,3.95,7.37
604,3.12,2.82,18.33,5.98,36.7,0.82,11.08,8.43,2.72,7.85
605,3.28,2.78,18.37,9.1,35.84,0.75,9.85,5.82,3.59,6.14
606,3.66,2.62,17.66,8.09,25.24,0.74,9.36,6.29,5.13,7.8
607,3.21,1.75,15.95,6.38,36.4,0.89,12.09,8.08,5.06,9.69
608,4.63,3.23,17.73,7.38,32.46,0.8,11.73,7.57,2.7,9.06
609,2.71,3.24,16.33,7.94,19.19,0.73,9.09,7.45,4.78,8.3
610,3.7,2.99,15.65,7.48,35.88,0.68,9.64,7.01,5.23,7.06
611,6.04,3.26,17.78,6.32,18.17,0.68,8.82,6.75,6.71,8.84
612,4.16,3.09,15.63,7.34,43.73,0.84,9.01,6.37,6.3,7.0
613,5.42,4.44,16.85,8.84,40.84,0.69,8.24,5.33,3.71,9.66
614,4.81,2.72,14.8,9.55,39.3,0.78,11.0,7.43,7.13,8.04
615,4.52,3.29,18.22,10.34,43.36,0.69,10.56,5.98,7.5,8.31
616,4.66,3.22,18.91,8.38,33.98,0.74,9.89,6.17,6.36,7.81
617,4.96,3.57,18.11,9.32,62.64,0.65,11.16,5.01,7.63,7.98
618,4.51,3.2,18.89,11.18,44.22,0.86,10.07,6.21,5.47,7.64
619,4.68,3.76,15.4,8.91,42.08,0.57,10.84,5.81,5.6,9.98
620,4.84,4.81,17.84,9.54,67.53,0.72,9.12,7.79,6.28,7.67
621,4.97,3.8,17.53,8.79,54.1,0.82,10.4,5.65,5.48,6.86
622,5.04,3.81,15.56,9.66,53.39,1.05,7.47,7.05,6.03,7.84
623,3.74,3.6,16.59,9.76,70.92,0.96,8.3,8.24,7.58,7.51
624,5.84,4.4,18.92,9.58,53.53,0.84,8.3,7.83,7.15,7.42
625,6.53,3.97,16.93,9.87,53.59,0.91,7.81,8.41,5.51,6.62
626,4.51,3.3,20.25,8.6,57.72,0.83,10.52,8.05,6.07,7.82
627,4.91,3.69,19.95,8.92,65.15,0.78,9.62,5.58,7.73,7.6
628,7.0,4.28,17.99,6.55,83.75,0.61,9.05,8.07,7.72,10.09
629,4.18,3.54,19.79,8.22,72.4,0.45,10.76,8.47,7.51,9.01
630,5.69,3.39,15.94,8.15,76.19,0.44,9.63,7.63,6.93,9.93
631,4.54,2.58,18.79,6.27,85.29,0.65,9.45,8.1,6.89,5.23
632,4.83,3.36,16.87,8.3,56.88,0.73,9.56,9.41,5.7,8.8
633,4.49,2.71,19.5,7.04,80.16,0.43,10.22,7.99,8.29,9.1
634,4.59,2.72,17.83,4.84,89.41,0.52,9.13,8.96,6.12,9.31
635,2.93,3.05,18.87,5.11,88.19,0.55,10.49,9.21,7.45,8.16
636,3.13,2.53,12.59,6.17,89.67,0.58,10.67,10.2,8.23,6.77
637,3.06,2.79,12.76,5.58,87.96,0.47,8.64,7.74,4.89,7.84
638,4.2,2.28,16.04,6.76,81.99,0.47,9.55,9.16,5.19,6.72
639,1.12,2.38,12.7,5.66,86.28,0.41,10.3,9.54,2.86,7.01
640,4.4,2.19,16.27,5.6,85.73,0.5,10.04,7.93,5.82,7.78
641,2.97,2.2,16.75,3.98,104.58,0.49,9.32,9.68,3.93,6.43
642,3.37,2.31,12.18,5.15,84.41,0.32,10.0,8.66,4.9,8.53
643,2.19,2.05,15.72,3.24,91.3,0.23,8.77,8.13,3.82,5.54
644,1.88,1.31,14.97,4.3,98.02,0.23,8.95,8.72,4.26,7.87
645,2.05,1.72,12.56,4.39,77.76,0.39,11.87,10.09,3.52,5.78
646,1.98,0.63,10.6,2.9,88.68,0.36,7.91,6.64,3.67,6.11
647,1.77,1.75,11.96,1.95,78.25,0.09,8.71,9.62,5.84,6.41
648,2.16,1.32,7.98,3.73,96.97,0.24,9.04,8.9,3.29,4.14
649,1.38,1.53,8.63,4.2,88.39,0.39,9.37,6.91,2.47,5.06
650,0.0,1.42,8.81,1.63,68.2,0.01,9.72,5.79,4.03,4.76
651,1.25,2.39,12.55,5.43,0.0,0.64,10.64,6.66,3.22,6.01
652,3.64,2.46,15.09,6.82,19.99,0.73,11.31,5.73,1.62,7.5
653,4.35,3.34,16.25,5.19,25.25,0.5,11.13,9.58,3.75,6.21
654,5.17,2.31,14.36,5.76,13.55,0.74,9.77,7.01,2.66,7.88
655,2.34,2.4,15.65,5.83,11.86,0.86,8.81,6.65,2.46,8.21
656,3.96,3.07,13.5,5.84,19.55,0.7,10.79,7.01,2.25,8.41
657,4.26,2.49,16.31,7.25,31.39,0.6,9.87,6.96,3.63,7.56
658,2.51,3.74,17.63,7.0,23.81,0.61,8.64,7.58,4.98,10.03
659,2.67,3.19,17.52,8.11,24.94,0.84,10.8,6.4,1.68,7.56
660,3.86,4.27,17.09,6.26,33.03,0.67,10.13,6.91,6.93,9.87
661,4.46,2.65,13.48,7.17,29.34,0.86,7.86,4.76,5.93,8.36
662,4.55,3.85,16.55,8.64,31.95,0.75,10.11,5.99,5.98,7.21
663,5.56,3.24,17.76,7.77,24.67,0.62,9.73,6.32,4.67,8.47
